,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.099,271.07,96.35,2.88,49.62,0.0,0.0,0.0,0.0,0.0,0.13,0.81,2.73,6.19,9.26,75.03,4.95,0.81,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.10099999999999999,271.46,94.05,4.44,49.24,0.0,0.0,0.0,0.0,0.04,0.13,1.37,4.27,8.62,12.72,65.3,6.19,1.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.102,271.71,91.64,5.92,48.78,0.0,0.0,0.0,0.0,0.0,0.34,1.58,5.38,11.48,15.54,57.92,6.06,1.66,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.10300000000000001,271.6,87.48,8.98,48.23,0.0,0.0,0.0,0.0,0.0,0.34,2.05,7.77,13.53,18.48,50.19,6.19,1.28,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.102,270.92,79.77,15.49,47.63,0.0,0.0,0.0,0.0,0.04,0.21,2.99,9.86,17.97,21.08,40.2,6.23,0.85,0.47,0.09,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.10300000000000001,271.05,73.38,20.54,46.96,0.0,0.0,0.0,0.0,0.04,0.21,3.24,12.38,21.13,24.67,30.47,5.89,1.71,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.106,271.91,69.71,22.5,46.11,0.0,0.0,0.0,0.0,0.0,0.21,3.54,14.98,24.88,25.82,23.26,5.72,1.45,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.115,274.13,70.29,20.98,45.64,0.0,0.0,0.0,0.0,0.0,0.26,3.12,15.54,29.75,25.57,19.38,5.63,0.64,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.132,277.19,74.39,17.97,46.18,0.0,0.0,0.0,0.0,0.0,0.17,2.6,11.05,30.94,27.87,19.8,6.87,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.149,280.33,77.48,14.74,46.11,0.0,0.0,0.0,0.0,0.0,0.21,2.6,11.65,29.32,29.75,19.68,6.06,0.68,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.166,282.85,79.72,10.33,45.03,0.0,0.0,0.0,0.0,0.0,0.64,4.74,15.45,29.79,26.85,17.8,4.1,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.185,285.01,81.57,12.87,47.22,0.0,0.0,0.0,0.0,0.04,0.51,3.76,11.4,21.04,26.59,23.77,10.41,2.35,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.21100000000000002,287.59,83.49,10.27,46.88,0.0,0.0,0.0,0.0,0.04,0.6,4.27,12.51,21.9,25.61,22.66,9.9,2.39,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.242,289.76,84.83,6.42,45.63,0.0,0.0,0.0,0.0,0.13,1.32,5.16,15.28,23.82,23.69,21.68,7.73,1.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.271,291.45,84.03,7.23,45.63,0.0,0.0,0.0,0.0,0.21,1.62,6.83,16.13,20.27,23.26,20.27,9.18,1.92,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.303,293.06,82.53,10.67,46.6,0.0,0.0,0.0,0.0,0.3,1.66,7.21,15.15,18.27,21.25,18.82,11.65,4.31,1.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0
