,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.114,273.04,95.59,0.8,48.2,0.0,0.0,0.0,0.1,0.29,1.72,2.53,4.3,5.87,6.64,76.79,1.05,0.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.109,272.61,93.2,1.42,47.31,0.0,0.0,0.0,0.1,0.53,2.39,4.25,6.64,8.26,10.84,63.8,2.01,0.91,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.10800000000000001,272.72,91.5,2.11,46.8,0.0,0.0,0.0,0.05,0.62,2.53,5.44,7.98,10.41,12.61,55.83,2.72,1.29,0.48,0.05,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.111,273.2,91.27,2.7,46.98,0.0,0.0,0.0,0.0,0.48,2.1,4.2,9.5,11.51,13.56,53.49,3.2,1.24,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.115,273.51,90.28,4.45,47.36,0.0,0.0,0.0,0.0,0.24,1.86,4.3,8.12,14.61,14.85,49.0,4.68,1.77,0.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.11900000000000001,273.82,87.11,8.79,47.95,0.0,0.0,0.0,0.0,0.38,1.91,3.72,9.12,14.33,18.77,39.54,10.51,1.38,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.124,274.71,83.42,12.32,47.87,0.0,0.0,0.0,0.0,0.48,1.91,4.2,9.93,16.52,20.92,27.79,16.62,1.34,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.136,276.59,82.22,13.08,47.65,0.0,0.0,0.0,0.0,0.19,1.81,4.54,10.65,18.29,20.87,24.55,17.14,1.91,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.149,279.05,81.87,13.26,47.56,0.0,0.0,0.0,0.0,0.05,1.58,4.92,10.84,18.62,21.3,24.26,17.05,1.34,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.158,282.04,78.49,12.07,45.28,0.0,0.0,0.0,0.0,0.33,2.44,7.12,16.52,21.01,21.87,20.01,9.98,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.168,284.82,76.31,7.96,42.13,0.0,0.0,0.0,0.0,1.1,4.54,13.04,20.53,24.5,18.62,14.18,3.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.18100000000000002,287.38,75.63,7.02,41.33,0.0,0.0,0.0,0.05,1.24,5.73,14.52,21.63,24.5,17.72,11.6,2.87,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.19899999999999998,289.91,78.91,5.61,42.26,0.0,0.0,0.0,0.0,0.76,5.21,11.8,20.49,24.83,20.01,13.51,3.25,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.22,292.08,79.59,4.72,42.16,0.0,0.0,0.0,0.0,0.53,3.72,11.65,22.06,26.84,20.11,12.13,2.91,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.23399999999999999,293.79,74.45,6.24,40.34,0.0,0.0,0.0,0.05,0.96,5.44,16.48,27.6,24.36,15.19,7.5,2.05,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.254,295.52,70.88,7.79,39.34,0.0,0.0,0.0,0.14,1.34,7.78,20.92,26.74,21.59,12.8,5.68,2.29,0.53,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.27899999999999997,297.47,69.65,7.41,38.53,0.0,0.0,0.05,0.33,1.96,9.46,23.64,26.03,19.2,11.08,4.49,2.63,0.76,0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.301,299.4,67.6,6.23,36.92,0.0,0.0,0.1,1.0,3.96,13.51,26.12,25.12,15.38,8.12,3.68,1.53,0.86,0.48,0.14,0.0,0.0,0.0,0.0,0.0,0.0
18,2007-05-07,0.321,301.09,63.3,4.25,33.77,0.0,0.14,0.76,2.72,8.6,20.63,27.51,19.96,10.98,4.39,2.01,1.19,0.62,0.29,0.14,0.05,0.0,0.0,0.0,0.0,0.0
19,2007-05-14,0.337,302.41,58.27,3.03,30.65,0.14,0.72,2.44,6.83,14.09,23.78,24.79,14.57,6.88,3.34,1.1,0.67,0.33,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.35,303.52,53.72,2.1,27.91,1.0,2.82,5.87,10.32,16.38,22.64,19.96,12.13,4.78,1.96,1.43,0.29,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.355,304.29,45.85,1.94,23.89,6.06,6.45,8.98,11.94,19.34,19.1,13.32,7.59,3.87,1.72,0.81,0.57,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2007-06-04,0.35200000000000004,304.48,35.4,3.74,19.57,16.57,8.31,11.65,16.71,15.33,10.51,8.26,5.97,3.49,1.67,0.86,0.38,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.35100000000000003,304.34,29.29,7.76,18.52,22.83,10.03,12.27,12.18,11.56,8.17,8.5,4.87,5.11,2.1,1.15,0.86,0.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.349,304.23,28.0,11.57,19.79,23.45,10.27,10.08,10.32,10.94,8.02,7.07,7.4,4.58,3.92,2.05,1.0,0.53,0.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0
25,2007-06-25,0.34600000000000003,304.54,28.25,11.59,19.92,25.26,9.46,8.69,11.03,9.98,8.36,7.35,5.97,5.01,4.2,2.67,1.0,0.53,0.33,0.14,0.0,0.0,0.0,0.0,0.0,0.0
26,2007-07-02,0.341,305.24,28.26,7.17,17.71,27.89,9.89,9.74,12.32,9.89,8.55,7.21,4.25,4.73,2.72,1.38,0.91,0.29,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0
27,2007-07-09,0.332,305.59,28.47,5.02,16.75,26.7,11.08,11.56,12.27,11.37,9.07,6.21,4.82,2.96,2.05,1.05,0.48,0.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2007-07-16,0.324,305.56,30.72,4.5,17.61,20.68,11.13,13.51,14.18,13.28,10.22,7.16,3.77,2.29,2.01,0.86,0.57,0.19,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2007-07-23,0.316,305.38,34.63,4.33,19.48,14.37,7.88,13.09,17.57,16.62,12.94,8.21,3.96,2.1,1.67,0.48,0.62,0.29,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0
30,2007-07-30,0.308,305.0,36.41,5.63,21.02,11.65,6.45,10.55,17.57,19.1,14.18,9.79,4.54,3.15,1.1,0.76,0.62,0.33,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0
