,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.055,261.13,71.17,22.71,46.94,0.0,0.0,0.08,0.84,2.06,4.91,7.72,11.33,14.72,16.65,18.46,10.23,7.17,3.31,1.38,0.59,0.42,0.13,0.0,0.0,0.0
1,2007-01-08,0.055999999999999994,260.68,75.07,25.25,50.16,0.0,0.0,0.04,0.76,1.3,3.19,6.12,8.6,13.3,14.05,18.75,13.09,9.69,5.45,3.02,1.26,0.92,0.34,0.13,0.0,0.0
2,2007-01-15,0.059000000000000004,260.49,76.37,26.84,51.61,0.0,0.0,0.0,0.34,1.34,2.89,5.45,7.97,12.25,13.84,18.96,12.63,8.98,6.59,3.94,2.68,1.43,0.5,0.13,0.08,0.0
3,2007-01-22,0.062,260.8,75.94,27.22,51.58,0.0,0.0,0.04,0.34,0.67,3.15,5.79,8.39,12.75,13.51,18.62,12.63,8.81,6.04,4.57,2.6,1.3,0.59,0.17,0.04,0.0
4,2007-01-29,0.075,262.6,80.81,24.35,52.58,0.0,0.0,0.0,0.25,0.5,2.06,4.7,7.17,10.91,12.54,22.19,14.85,10.36,5.66,4.87,2.31,0.88,0.59,0.17,0.0,0.0
5,2007-02-05,0.091,265.22,84.8,21.58,53.19,0.0,0.0,0.0,0.04,0.25,0.76,2.85,5.08,8.81,13.46,27.89,18.58,10.36,6.8,3.44,1.34,0.29,0.04,0.0,0.0,0.0
6,2007-02-12,0.109,268.78,87.77,17.44,52.61,0.0,0.0,0.0,0.04,0.04,0.38,1.59,3.78,8.35,13.51,35.19,22.32,10.11,3.98,0.59,0.13,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.12300000000000001,272.1,88.83,14.42,51.62,0.0,0.0,0.0,0.04,0.08,0.25,1.38,4.53,9.02,15.27,38.46,22.27,7.42,1.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.133,275.41,88.01,11.03,49.52,0.0,0.0,0.0,0.0,0.21,0.38,2.73,6.8,13.72,18.79,37.46,15.73,3.86,0.29,0.04,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.138,278.21,84.41,10.27,47.34,0.0,0.0,0.0,0.04,0.21,0.92,4.28,11.66,18.62,22.44,28.44,10.28,2.6,0.46,0.04,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.14300000000000002,281.2,79.37,9.56,44.47,0.0,0.0,0.0,0.08,0.34,2.14,8.22,18.71,23.74,21.56,17.07,6.0,1.68,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.149,284.06,74.42,9.12,41.77,0.0,0.0,0.0,0.08,0.88,4.24,12.84,24.5,26.85,15.6,10.11,3.1,1.55,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.163,286.75,73.72,8.48,41.1,0.0,0.0,0.0,0.13,0.88,4.45,14.89,26.55,26.17,14.85,7.59,2.52,1.72,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.177,289.2,71.44,8.82,40.13,0.0,0.0,0.0,0.08,1.01,5.2,18.25,28.44,25.42,12.04,5.58,2.14,1.55,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.187,291.01,66.49,11.23,38.86,0.0,0.0,0.0,0.17,1.64,7.38,21.94,29.91,21.81,9.31,4.49,2.22,0.84,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.20800000000000002,292.93,64.2,15.01,39.6,0.0,0.0,0.0,0.13,1.51,6.08,19.67,29.15,22.44,11.58,5.49,2.56,0.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.24100000000000002,295.5,65.11,15.49,40.3,0.0,0.0,0.0,0.29,1.3,5.87,18.67,26.51,22.94,13.59,5.49,3.1,1.51,0.46,0.25,0.0,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.28,298.32,68.2,11.87,40.03,0.0,0.0,0.04,0.34,1.68,6.54,19.84,26.09,21.1,13.0,5.96,3.31,1.22,0.63,0.25,0.0,0.0,0.0,0.0,0.0,0.0
18,2007-05-07,0.316,300.59,69.95,7.61,38.78,0.0,0.04,0.08,0.38,1.97,8.81,23.49,26.51,19.04,10.03,5.41,2.73,0.76,0.59,0.17,0.0,0.0,0.0,0.0,0.0,0.0
19,2007-05-14,0.345,302.29,67.57,5.8,36.69,0.08,0.04,0.17,1.05,4.07,13.8,25.42,26.22,13.97,8.85,3.31,1.68,0.84,0.46,0.04,0.0,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.37,303.59,66.51,4.54,35.52,0.13,0.04,0.55,1.85,6.0,17.83,24.83,22.4,12.96,7.42,3.23,1.64,0.84,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.384,304.3,62.06,3.16,32.61,0.17,0.5,1.43,4.03,11.62,20.3,25.38,18.62,10.11,4.45,1.89,1.09,0.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2007-06-04,0.385,304.29,56.96,5.54,31.25,0.34,1.13,2.6,7.42,13.93,19.63,21.85,16.4,8.64,4.4,2.31,0.8,0.29,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.38799999999999996,304.12,57.62,11.03,34.32,0.46,1.22,2.98,6.12,10.53,12.84,17.58,17.2,14.56,8.18,4.36,2.43,1.22,0.17,0.13,0.04,0.0,0.0,0.0,0.0,0.0
