,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.155,273.27,98.63,1.53,50.08,0.0,0.0,0.0,0.0,0.0,0.1,0.67,1.24,1.81,4.86,86.66,4.19,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.14400000000000002,272.01,94.59,6.38,50.49,0.0,0.0,0.0,0.05,0.16,0.47,2.48,2.84,4.65,8.89,65.2,11.22,3.31,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.132,271.11,87.25,12.06,49.66,0.0,0.0,0.0,0.1,0.41,2.02,3.0,5.22,8.63,17.32,43.33,12.72,4.65,1.91,0.52,0.16,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.122,270.14,75.62,20.17,47.89,0.0,0.0,0.0,0.0,0.57,2.33,4.96,9.36,17.37,20.22,29.37,8.01,3.88,2.07,1.14,0.62,0.1,0.0,0.0,0.0,0.0
4,2007-01-29,0.11199999999999999,268.97,61.11,32.38,46.74,0.0,0.0,0.0,0.0,0.16,1.71,6.26,14.53,21.92,22.08,17.37,9.51,2.9,1.81,1.29,0.47,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.109,268.53,52.74,40.44,46.59,0.0,0.0,0.0,0.0,0.05,0.93,5.38,14.37,23.89,24.35,16.24,8.89,3.0,2.22,0.67,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.11599999999999999,269.96,51.87,38.89,45.38,0.0,0.0,0.0,0.0,0.1,1.03,6.67,17.17,25.08,23.63,16.39,6.15,2.38,1.14,0.26,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.13,272.68,55.74,33.07,44.41,0.0,0.0,0.0,0.0,0.05,1.29,7.5,19.54,26.01,24.1,13.86,5.64,1.34,0.57,0.1,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.153,275.79,63.86,26.6,45.23,0.0,0.0,0.0,0.0,0.05,0.88,6.57,16.39,25.7,25.08,15.56,7.5,1.71,0.52,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.177,278.66,71.28,21.85,46.56,0.0,0.0,0.0,0.0,0.0,0.31,4.03,13.75,23.73,26.32,19.91,9.15,2.07,0.62,0.1,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.205,281.23,78.22,19.35,48.78,0.0,0.0,0.0,0.0,0.0,0.16,1.45,7.81,22.39,26.22,22.75,13.39,4.34,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.237,283.67,85.63,18.49,52.06,0.0,0.0,0.0,0.0,0.0,0.05,0.41,3.41,10.91,23.68,27.15,22.75,8.48,2.95,0.21,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.271,286.22,92.4,11.02,51.71,0.0,0.0,0.0,0.0,0.0,0.1,0.41,3.1,11.48,22.03,31.33,21.56,8.63,1.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.305,287.94,96.41,6.29,51.35,0.0,0.0,0.0,0.0,0.0,0.1,0.31,1.86,7.45,18.2,50.26,16.24,4.91,0.62,0.05,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.337,289.34,97.61,4.51,51.06,0.0,0.0,0.0,0.0,0.0,0.1,0.31,1.4,5.33,14.32,61.84,12.2,3.52,0.93,0.05,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.369,291.11,97.08,3.56,50.32,0.0,0.0,0.0,0.0,0.05,0.1,0.31,1.96,6.36,18.77,60.39,8.63,2.9,0.41,0.1,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.402,292.81,95.56,3.38,49.47,0.0,0.0,0.0,0.0,0.05,0.16,0.52,2.07,10.6,27.92,49.48,6.26,2.28,0.62,0.05,0.0,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.429,294.07,93.13,3.64,48.39,0.0,0.0,0.0,0.0,0.05,0.26,1.03,3.93,16.49,33.92,36.25,5.43,2.12,0.41,0.05,0.05,0.0,0.0,0.0,0.0,0.0
18,2007-05-07,0.452,294.93,89.94,3.77,46.86,0.0,0.0,0.0,0.0,0.16,0.36,1.76,8.22,23.84,34.28,25.08,4.55,1.45,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0
19,2007-05-14,0.47200000000000003,295.4,87.18,5.28,46.23,0.0,0.0,0.0,0.1,0.1,0.72,3.26,10.65,25.49,32.32,18.98,6.1,1.76,0.41,0.0,0.1,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.49200000000000005,296.09,87.21,5.3,46.25,0.0,0.0,0.0,0.05,0.31,0.98,3.72,11.48,23.99,30.25,20.27,6.77,1.76,0.36,0.0,0.05,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.51,296.62,88.66,4.3,46.48,0.0,0.0,0.0,0.1,0.26,0.98,3.21,10.13,21.77,31.59,24.25,5.74,1.71,0.21,0.05,0.0,0.0,0.0,0.0,0.0,0.0
22,2007-06-04,0.518,296.65,88.41,4.77,46.59,0.0,0.0,0.0,0.1,0.1,1.4,3.52,10.08,21.1,30.4,24.77,6.26,1.86,0.36,0.05,0.0,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.517,296.24,85.57,7.21,46.39,0.0,0.0,0.1,0.0,0.47,2.22,4.86,12.25,20.27,26.01,21.87,7.81,3.26,0.78,0.1,0.0,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.512,295.74,82.38,11.7,47.04,0.0,0.05,0.0,0.31,0.98,2.33,6.67,11.43,18.36,21.35,19.7,11.38,5.17,1.86,0.41,0.0,0.0,0.0,0.0,0.0,0.0
25,2007-06-25,0.507,295.67,79.43,13.51,46.47,0.05,0.0,0.26,0.72,1.55,3.98,7.65,10.34,18.3,19.6,16.03,12.67,5.58,2.59,0.52,0.16,0.0,0.0,0.0,0.0,0.0
26,2007-07-02,0.502,295.9,77.83,14.71,46.27,0.05,0.26,0.41,0.72,2.59,5.33,7.08,10.13,17.11,18.05,15.67,10.65,7.76,2.95,0.83,0.41,0.0,0.0,0.0,0.0,0.0
27,2007-07-09,0.49200000000000005,295.9,74.32,18.95,46.64,0.31,0.26,0.67,1.09,3.57,4.81,8.01,10.29,14.74,15.2,14.48,10.7,8.22,4.91,1.71,0.67,0.21,0.16,0.0,0.0,0.0
