,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.128,276.46,81.76,0.9,41.33,0.0,0.0,0.36,2.86,5.2,10.45,9.93,9.88,9.31,7.28,44.62,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.127,276.1,81.77,1.01,41.39,0.0,0.0,0.05,2.08,5.1,9.52,11.86,10.45,10.24,9.1,41.45,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.13,276.55,82.37,0.95,41.66,0.0,0.0,0.0,1.14,4.21,8.89,12.06,13.21,10.92,9.0,40.41,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.13699999999999998,277.73,83.57,0.9,42.23,0.0,0.0,0.0,0.68,2.86,8.32,11.39,14.3,11.96,9.83,40.41,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.138,278.05,82.34,1.88,42.11,0.0,0.0,0.0,0.57,2.55,7.8,13.05,14.82,13.73,11.39,35.67,0.36,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.136,278.21,78.35,4.49,41.42,0.0,0.0,0.0,0.52,2.44,8.94,15.29,16.69,15.7,11.8,27.35,1.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.136,278.77,73.62,7.95,40.79,0.0,0.0,0.0,0.26,2.5,9.98,18.15,18.2,16.69,11.86,17.94,4.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.14,280.25,71.55,9.72,40.63,0.0,0.0,0.0,0.16,2.08,9.62,18.41,20.64,17.99,12.38,12.17,6.4,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.152,282.49,72.46,9.79,41.13,0.0,0.0,0.0,0.1,1.46,7.8,17.63,21.42,19.29,13.57,11.8,6.71,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.162,285.38,70.33,8.35,39.34,0.0,0.0,0.0,0.16,3.07,11.34,19.19,22.36,16.74,12.48,10.87,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
