,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.139,278.13,93.58,1.35,47.47,0.0,0.0,0.24,0.52,1.15,2.15,3.06,3.74,5.05,6.16,77.73,0.08,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.142,278.38,95.17,1.49,48.33,0.0,0.0,0.0,0.36,0.56,1.23,2.23,3.22,4.33,4.97,82.62,0.28,0.08,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.146,278.85,96.06,1.46,48.76,0.0,0.0,0.0,0.04,0.72,0.76,1.87,2.54,3.5,5.57,84.33,0.28,0.32,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.152,279.98,95.95,1.29,48.62,0.0,0.0,0.0,0.04,0.52,1.19,1.71,2.9,4.37,6.68,82.07,0.28,0.08,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.153,280.47,94.1,2.07,48.09,0.0,0.0,0.0,0.08,0.48,1.67,2.5,4.53,7.44,10.78,71.93,0.32,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.151,280.8,90.41,4.55,47.48,0.0,0.0,0.0,0.12,0.91,1.99,4.37,6.84,11.85,16.5,55.23,2.03,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.151,281.43,86.44,6.64,46.54,0.0,0.0,0.0,0.16,1.23,2.82,5.05,8.51,17.02,19.72,38.89,6.52,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.155,282.71,83.62,7.67,45.64,0.0,0.0,0.0,0.32,1.51,2.62,6.2,11.21,19.6,21.07,30.34,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.16399999999999998,284.32,81.65,9.02,45.33,0.0,0.0,0.0,0.28,1.39,2.98,5.73,12.68,21.47,22.86,23.98,8.43,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.174,286.47,79.52,8.97,44.24,0.0,0.0,0.0,0.4,1.67,3.38,6.84,14.99,23.22,23.06,20.2,6.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
