,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.083,267.66,92.75,10.28,51.52,0.0,0.0,0.0,0.0,0.12,0.52,2.1,4.53,7.15,10.05,54.05,8.1,5.4,3.53,2.07,1.39,0.64,0.32,0.0,0.04,0.0
1,2007-01-08,0.079,266.52,88.59,14.18,51.38,0.0,0.0,0.0,0.0,0.04,0.71,3.89,6.24,11.36,13.03,37.29,9.89,7.66,4.73,2.62,1.43,0.83,0.24,0.0,0.0,0.04
2,2007-01-15,0.077,265.94,85.38,18.48,51.93,0.0,0.0,0.0,0.0,0.04,1.11,3.89,8.1,11.76,14.89,27.05,11.12,9.21,5.96,4.21,1.59,0.64,0.4,0.0,0.04,0.0
3,2007-01-22,0.081,266.04,86.75,21.5,54.12,0.0,0.0,0.0,0.0,0.0,0.56,2.62,5.84,8.94,13.19,26.33,13.94,12.11,8.46,5.08,2.03,0.83,0.04,0.0,0.04,0.0
4,2007-01-29,0.087,267.06,88.08,22.16,55.12,0.0,0.0,0.0,0.0,0.0,0.04,1.75,4.29,6.87,11.8,26.33,18.55,15.33,10.05,3.89,0.95,0.12,0.0,0.04,0.0,0.0
5,2007-02-05,0.095,268.3,85.87,21.89,53.88,0.0,0.0,0.0,0.0,0.0,0.0,0.99,3.85,9.13,15.61,24.86,21.88,15.53,6.75,1.31,0.04,0.04,0.0,0.0,0.0,0.0
6,2007-02-12,0.10400000000000001,270.01,80.54,20.35,50.45,0.0,0.0,0.0,0.0,0.0,0.2,1.75,7.39,15.33,22.52,23.15,18.39,9.02,1.99,0.24,0.04,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.11599999999999999,272.16,77.12,18.56,47.84,0.0,0.0,0.0,0.0,0.0,0.4,3.3,12.15,21.72,22.88,20.65,14.61,3.49,0.68,0.12,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.128,275.16,76.3,15.01,45.66,0.0,0.0,0.0,0.0,0.0,0.91,5.28,17.04,24.98,22.4,17.67,10.37,1.19,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.14,278.97,74.68,9.77,42.23,0.0,0.0,0.0,0.0,0.32,3.1,12.91,24.15,24.78,18.07,13.03,3.42,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.151,281.9,72.86,6.74,39.8,0.0,0.0,0.0,0.08,1.23,6.75,18.67,25.38,24.46,13.5,7.94,1.79,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.163,284.29,71.53,7.09,39.31,0.0,0.0,0.0,0.2,1.31,7.47,19.78,26.89,23.23,13.07,6.35,1.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
