,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.133,270.6,95.81,2.26,49.04,0.0,0.0,0.0,0.0,0.11,0.44,1.94,3.99,6.09,8.8,74.53,3.77,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.121,269.66,90.27,6.13,48.2,0.0,0.0,0.0,0.0,0.11,1.0,3.88,7.2,13.12,15.89,48.01,9.3,1.38,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.11,268.91,78.4,11.15,44.78,0.0,0.0,0.0,0.0,0.61,2.49,9.97,15.61,19.6,18.77,24.09,6.92,1.55,0.28,0.11,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.10300000000000001,268.12,65.97,19.93,42.95,0.0,0.0,0.0,0.11,0.83,4.1,11.79,21.21,22.26,19.05,13.01,5.43,1.38,0.61,0.17,0.06,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.095,267.21,51.27,31.99,41.63,0.0,0.0,0.0,0.17,0.61,5.48,15.45,23.31,22.54,16.78,9.69,4.43,0.94,0.5,0.11,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.09300000000000001,266.83,42.8,41.14,41.97,0.0,0.0,0.0,0.0,0.44,3.93,14.29,24.03,25.19,16.94,8.64,4.21,2.16,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.096,267.55,39.73,44.44,42.09,0.0,0.0,0.0,0.0,0.17,3.43,13.84,25.69,24.2,17.5,9.75,3.43,1.94,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.10800000000000001,269.66,43.19,43.21,43.2,0.0,0.0,0.0,0.0,0.11,1.55,11.02,23.2,25.08,21.54,11.35,4.15,1.66,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.132,272.78,53.02,36.94,44.98,0.0,0.0,0.0,0.0,0.06,0.44,5.43,18.72,28.41,25.08,13.23,6.31,1.55,0.72,0.06,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.161,276.13,64.07,29.96,47.02,0.0,0.0,0.0,0.0,0.0,0.06,2.1,12.13,24.86,30.18,18.11,9.3,2.71,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.196,279.6,74.62,19.39,47.0,0.0,0.0,0.0,0.0,0.0,0.17,1.99,11.07,25.42,29.84,19.88,9.47,1.99,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.22699999999999998,282.23,81.72,19.71,50.71,0.0,0.0,0.0,0.0,0.0,0.17,0.44,4.32,13.4,25.64,29.51,20.54,5.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.255,284.74,87.04,17.74,52.39,0.0,0.0,0.0,0.0,0.0,0.11,0.39,2.82,9.08,21.26,30.45,24.03,10.63,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.28300000000000003,286.83,91.65,13.39,52.52,0.0,0.0,0.0,0.0,0.06,0.11,0.22,2.27,8.69,18.66,34.88,24.58,8.69,1.61,0.22,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.31,288.53,94.62,11.9,53.26,0.0,0.0,0.0,0.0,0.0,0.11,0.22,1.55,5.48,15.89,39.09,23.92,10.69,2.55,0.39,0.11,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.335,290.1,94.62,12.38,53.5,0.0,0.0,0.0,0.0,0.06,0.0,0.22,1.44,6.15,16.56,36.38,23.26,10.96,4.26,0.61,0.11,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.361,291.53,92.91,14.75,53.83,0.0,0.0,0.0,0.0,0.0,0.06,0.44,2.71,6.87,18.22,29.62,20.93,13.57,5.87,1.38,0.33,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.385,292.98,90.03,14.22,52.12,0.0,0.0,0.0,0.0,0.0,0.11,0.83,4.1,13.18,21.93,26.41,16.22,11.02,4.54,1.33,0.28,0.06,0.0,0.0,0.0,0.0
18,2007-05-07,0.405,294.3,86.15,13.13,49.64,0.0,0.0,0.0,0.0,0.0,0.33,2.05,8.97,19.93,22.7,21.54,12.18,8.53,2.49,1.16,0.06,0.06,0.0,0.0,0.0,0.0
19,2007-05-14,0.423,295.36,82.6,12.85,47.73,0.0,0.0,0.0,0.0,0.11,0.94,4.54,12.79,21.32,23.09,17.72,11.24,5.43,1.77,0.94,0.11,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.44299999999999995,296.44,82.31,9.29,45.8,0.0,0.0,0.0,0.0,0.33,1.77,5.76,15.39,24.14,23.31,16.56,7.75,3.49,1.05,0.39,0.0,0.06,0.0,0.0,0.0,0.0
21,2007-05-28,0.46,297.19,83.35,7.15,45.25,0.0,0.0,0.0,0.17,0.33,1.88,5.54,14.56,26.85,24.75,16.94,5.59,2.55,0.55,0.28,0.0,0.0,0.0,0.0,0.0,0.0
22,2007-06-04,0.46799999999999997,297.32,82.59,7.89,45.24,0.0,0.0,0.0,0.17,0.78,1.83,5.81,14.89,25.14,26.08,14.62,7.48,2.33,0.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.47100000000000003,297.02,79.52,10.09,44.8,0.0,0.0,0.11,0.39,0.94,3.16,7.64,16.61,22.76,21.71,14.51,7.75,3.65,0.5,0.28,0.0,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.469,296.47,76.15,16.54,46.34,0.06,0.0,0.11,0.33,1.27,2.88,7.86,13.29,18.77,19.49,17.22,10.35,5.48,2.38,0.5,0.0,0.0,0.0,0.0,0.0,0.0
25,2007-06-25,0.466,296.22,74.48,20.5,47.49,0.11,0.0,0.17,0.39,1.05,3.6,5.92,11.3,17.22,19.71,17.44,11.24,7.2,3.05,1.55,0.06,0.0,0.0,0.0,0.0,0.0
26,2007-07-02,0.46399999999999997,296.32,74.15,21.13,47.64,0.11,0.11,0.28,0.55,1.61,2.93,6.42,10.74,16.0,18.88,16.06,13.57,8.42,2.82,1.33,0.11,0.06,0.0,0.0,0.0,0.0
27,2007-07-09,0.45799999999999996,296.12,73.35,25.16,49.26,0.17,0.28,0.39,0.61,1.72,2.93,5.48,9.3,12.62,16.39,16.83,13.57,12.51,4.37,2.33,0.5,0.0,0.0,0.0,0.0,0.0
28,2007-07-16,0.45399999999999996,295.93,74.76,30.44,52.6,0.28,0.33,0.22,0.5,1.16,2.33,3.93,6.09,9.08,13.68,17.44,16.0,14.34,8.19,4.37,1.5,0.33,0.22,0.0,0.0,0.0
29,2007-07-23,0.451,295.82,76.28,35.72,56.0,0.11,0.39,0.22,0.66,0.61,1.94,2.38,4.71,6.15,11.68,13.12,17.72,16.72,11.63,7.2,3.16,1.16,0.39,0.0,0.06,0.0
30,2007-07-30,0.449,295.84,78.4,34.95,56.68,0.22,0.17,0.28,0.61,0.5,2.27,2.99,3.43,6.76,9.75,12.4,15.89,17.94,13.73,7.86,2.77,1.88,0.44,0.06,0.06,0.0
31,2007-08-06,0.446,295.67,78.86,35.01,56.93,0.17,0.11,0.11,0.72,0.72,1.61,2.66,4.26,7.2,9.91,12.62,14.45,16.33,15.28,8.14,3.27,1.77,0.55,0.06,0.06,0.0
32,2007-08-13,0.436,294.88,77.02,40.9,58.96,0.11,0.0,0.17,0.39,0.5,1.16,2.44,4.49,5.7,8.47,11.52,14.78,13.9,16.06,10.52,6.2,2.33,0.89,0.33,0.06,0.0
33,2007-08-20,0.431,293.93,78.45,45.47,61.96,0.06,0.06,0.06,0.17,0.28,0.89,1.27,3.05,5.48,6.48,9.36,12.62,15.45,15.45,14.51,9.19,3.77,1.33,0.44,0.11,0.0
34,2007-08-27,0.42700000000000005,292.91,81.4,46.89,64.15,0.0,0.0,0.06,0.06,0.22,0.33,0.89,1.55,3.05,6.26,8.19,11.13,15.95,19.27,16.28,10.47,4.93,0.78,0.61,0.0,0.0
35,2007-09-03,0.414,291.5,81.46,47.91,64.69,0.0,0.0,0.06,0.0,0.0,0.22,0.39,1.05,2.49,4.93,7.03,13.29,17.17,21.87,16.5,9.8,3.99,0.89,0.22,0.11,0.0
36,2007-09-10,0.4,290.34,81.98,44.22,63.1,0.0,0.0,0.0,0.06,0.06,0.11,0.22,1.77,2.33,6.37,9.86,13.73,18.77,21.65,15.01,6.81,2.38,0.61,0.22,0.06,0.0
37,2007-09-17,0.386,289.45,83.24,38.86,61.05,0.0,0.0,0.0,0.06,0.06,0.22,0.72,1.94,4.6,7.31,12.57,15.73,19.66,17.17,11.41,6.2,1.77,0.44,0.17,0.0,0.0
38,2007-09-24,0.364,287.92,80.92,37.51,59.21,0.0,0.0,0.0,0.06,0.0,0.44,0.72,2.55,5.32,10.3,13.95,17.44,19.16,14.95,9.36,4.1,1.55,0.11,0.0,0.0,0.0
39,2007-10-01,0.34,286.43,77.09,32.86,54.98,0.0,0.0,0.0,0.0,0.0,0.28,1.16,3.82,9.47,15.12,19.77,19.93,16.06,9.69,3.82,0.78,0.11,0.0,0.0,0.0,0.0
40,2007-10-08,0.314,284.46,75.9,32.03,53.97,0.0,0.0,0.0,0.0,0.0,0.28,0.44,3.27,10.02,17.22,22.92,23.15,14.62,6.31,1.16,0.5,0.06,0.06,0.0,0.0,0.0
41,2007-10-15,0.28600000000000003,282.18,75.02,38.08,56.55,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.16,5.48,13.12,19.99,27.8,19.49,8.91,3.1,0.44,0.11,0.0,0.0,0.0,0.0
42,2007-10-22,0.257,279.53,72.34,45.71,59.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.49,7.75,17.22,28.57,24.09,13.4,4.93,1.05,0.17,0.06,0.0,0.0,0.0
43,2007-10-29,0.228,276.21,69.66,48.46,59.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.6,7.42,18.11,27.96,23.7,12.79,4.93,1.55,0.44,0.17,0.0,0.0,0.0
44,2007-11-05,0.195,273.18,64.39,49.27,56.83,0.0,0.0,0.0,0.0,0.0,0.06,0.28,1.99,5.65,11.96,20.93,24.2,19.55,9.8,3.99,1.44,0.17,0.0,0.0,0.0,0.0
