,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.08900000000000001,266.64,95.22,4.82,50.02,0.0,0.0,0.05,0.19,0.42,0.84,1.77,2.6,3.39,4.56,75.92,5.35,2.74,1.26,0.7,0.19,0.05,0.0,0.0,0.0,0.0
1,2007-01-08,0.083,265.54,94.61,8.41,51.51,0.0,0.0,0.05,0.19,0.42,0.46,1.39,2.05,4.6,5.39,64.11,11.53,5.25,2.65,1.39,0.23,0.23,0.05,0.0,0.0,0.0
2,2007-01-15,0.077,264.54,92.3,13.98,53.14,0.0,0.0,0.0,0.23,0.56,0.79,1.12,2.37,4.37,7.86,49.79,14.41,9.9,5.3,1.81,0.98,0.37,0.14,0.0,0.0,0.0
3,2007-01-22,0.07400000000000001,264.09,90.52,19.51,55.01,0.0,0.0,0.0,0.09,0.28,0.56,1.16,2.14,4.42,7.72,37.7,19.9,12.78,8.41,3.02,1.26,0.42,0.14,0.0,0.0,0.0
4,2007-01-29,0.073,264.44,87.78,22.58,55.18,0.0,0.0,0.0,0.0,0.23,0.42,0.84,2.51,5.35,11.2,30.73,20.5,15.53,8.0,3.63,0.93,0.09,0.05,0.0,0.0,0.0
5,2007-02-05,0.07400000000000001,265.05,79.27,26.19,52.73,0.0,0.0,0.0,0.0,0.05,0.37,1.58,5.25,12.65,17.2,24.27,16.69,11.48,8.37,1.58,0.37,0.14,0.0,0.0,0.0,0.0
6,2007-02-12,0.076,266.08,65.61,30.23,47.92,0.0,0.0,0.0,0.0,0.05,0.56,5.49,15.57,21.57,18.46,14.74,10.46,8.51,3.63,0.84,0.14,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.08199999999999999,267.66,56.71,32.14,44.43,0.0,0.0,0.0,0.0,0.0,2.05,12.27,21.15,21.99,17.43,11.58,7.21,4.37,1.53,0.37,0.05,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.096,270.69,58.18,28.25,43.22,0.0,0.0,0.0,0.0,0.05,2.14,12.92,23.66,24.45,17.25,10.74,5.02,2.79,0.79,0.19,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.11800000000000001,274.95,65.01,19.83,42.42,0.0,0.0,0.0,0.0,0.19,2.14,12.69,25.8,25.57,18.36,9.53,4.23,1.26,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.142,278.23,70.56,14.12,42.34,0.0,0.0,0.0,0.0,0.23,2.37,11.2,24.83,27.43,19.71,10.74,2.93,0.33,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.161,280.91,73.01,14.18,43.59,0.0,0.0,0.0,0.05,0.09,1.77,8.32,20.6,28.82,22.36,12.46,4.23,1.07,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.182,283.66,75.01,12.01,43.51,0.0,0.0,0.05,0.0,0.23,2.0,8.79,20.78,27.57,22.41,12.18,4.56,1.16,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.209,286.36,79.52,8.17,43.85,0.0,0.0,0.0,0.05,0.23,2.0,7.95,19.71,27.48,21.8,15.06,4.09,1.21,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.23399999999999999,288.27,79.2,8.82,44.01,0.0,0.0,0.0,0.0,0.37,1.91,8.88,18.92,26.5,20.83,14.92,5.63,1.53,0.37,0.14,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.266,290.26,79.03,9.59,44.31,0.0,0.0,0.0,0.0,0.42,2.42,8.6,18.13,25.71,21.01,14.6,6.37,2.19,0.33,0.14,0.09,0.0,0.0,0.0,0.0,0.0
