,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.10400000000000001,270.33,96.97,4.48,50.73,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.51,4.45,6.96,76.01,6.71,2.68,1.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.09699999999999999,269.13,95.04,8.85,51.95,0.0,0.0,0.0,0.0,0.0,0.0,0.34,2.94,4.95,8.47,61.66,12.33,6.54,2.1,0.59,0.0,0.08,0.0,0.0,0.0,0.0
2,2007-01-15,0.08900000000000001,267.88,90.73,14.33,52.53,0.0,0.0,0.0,0.0,0.0,0.08,0.76,3.94,8.81,11.83,42.62,17.62,8.81,3.44,1.59,0.42,0.08,0.0,0.0,0.0,0.0
3,2007-01-22,0.081,266.3,79.32,23.11,51.22,0.0,0.0,0.0,0.0,0.0,0.25,2.68,8.22,14.85,18.46,24.16,15.35,7.38,4.11,3.02,1.26,0.25,0.0,0.0,0.0,0.0
4,2007-01-29,0.073,265.17,62.13,33.02,47.58,0.0,0.0,0.0,0.0,0.0,1.09,5.2,15.52,20.39,22.82,15.1,9.06,6.12,2.6,1.85,0.25,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.07200000000000001,265.3,53.05,37.28,45.17,0.0,0.0,0.0,0.0,0.0,1.34,8.05,21.22,25.34,17.79,11.91,6.88,5.37,1.68,0.42,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.078,267.19,52.7,34.79,43.74,0.0,0.0,0.0,0.0,0.08,1.34,8.56,26.51,25.25,17.2,11.49,5.54,3.1,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.08900000000000001,270.3,55.45,29.58,42.51,0.0,0.0,0.0,0.0,0.17,1.76,8.89,29.45,28.69,17.37,8.39,3.44,1.59,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.109,274.03,63.21,24.16,43.68,0.0,0.0,0.0,0.0,0.08,1.01,4.87,21.81,35.49,21.48,10.15,3.86,0.84,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.134,277.74,71.59,19.43,45.51,0.0,0.0,0.0,0.0,0.0,0.67,2.35,13.34,33.72,27.94,14.51,6.38,0.84,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.16399999999999998,280.94,79.73,13.79,46.76,0.0,0.0,0.0,0.0,0.0,0.5,2.1,8.56,27.68,33.31,18.71,8.14,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.196,283.6,86.62,13.51,50.07,0.0,0.0,0.0,0.0,0.0,0.17,1.09,3.69,13.93,28.02,32.13,18.2,2.43,0.25,0.08,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.228,286.38,91.58,11.85,51.71,0.0,0.0,0.0,0.0,0.0,0.25,0.92,2.68,9.56,20.22,35.82,25.59,4.53,0.34,0.08,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.263,288.61,95.22,7.68,51.45,0.0,0.0,0.0,0.0,0.0,0.08,0.76,2.35,8.72,16.53,47.57,21.06,2.52,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.295,290.36,95.99,5.16,50.58,0.0,0.0,0.0,0.0,0.0,0.08,0.59,2.68,8.47,17.37,55.03,13.42,2.01,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.326,292.12,94.52,5.41,49.96,0.0,0.0,0.0,0.0,0.0,0.08,0.5,3.69,10.82,25.59,44.63,10.65,3.36,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.359,293.75,92.7,7.17,49.94,0.0,0.0,0.0,0.0,0.0,0.17,1.17,5.12,14.01,26.17,32.55,14.35,4.95,1.01,0.42,0.08,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.39,295.11,90.66,8.72,49.69,0.0,0.0,0.0,0.0,0.0,0.34,1.85,6.96,17.03,23.91,26.85,13.84,6.8,1.59,0.67,0.08,0.08,0.0,0.0,0.0,0.0
18,2007-05-07,0.419,296.27,88.52,9.55,49.04,0.0,0.0,0.0,0.0,0.0,0.5,2.68,9.06,19.88,21.22,24.58,13.0,6.38,1.59,0.92,0.08,0.08,0.0,0.0,0.0,0.0
19,2007-05-14,0.442,296.99,87.19,12.33,49.76,0.0,0.0,0.0,0.0,0.08,0.67,2.85,8.89,17.95,20.47,21.9,16.02,7.38,2.43,0.84,0.42,0.08,0.0,0.0,0.0,0.0
20,2007-05-21,0.46399999999999997,297.68,87.03,12.67,49.85,0.0,0.0,0.0,0.0,0.08,1.17,3.36,9.73,15.44,20.81,20.89,15.94,7.8,3.19,1.34,0.17,0.08,0.0,0.0,0.0,0.0
21,2007-05-28,0.48,298.18,87.46,12.45,49.95,0.0,0.0,0.0,0.0,0.17,1.01,4.53,8.47,14.68,20.64,21.56,15.52,8.39,3.27,1.43,0.34,0.0,0.0,0.0,0.0,0.0
