,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.063,259.62,85.42,32.05,58.74,0.0,0.0,0.0,0.43,0.61,1.61,2.44,3.84,5.85,8.79,20.66,13.24,10.51,9.65,7.6,5.7,4.23,2.26,1.33,0.86,0.39
1,2007-01-08,0.062,259.12,86.68,35.03,60.86,0.0,0.0,0.0,0.07,0.75,0.93,2.22,3.16,5.74,7.14,19.01,13.74,11.26,10.08,8.07,5.49,3.98,3.19,2.44,1.36,1.36
2,2007-01-15,0.065,259.6,89.08,33.06,61.07,0.0,0.0,0.0,0.04,0.11,1.18,1.69,2.65,4.66,7.5,21.23,14.81,12.95,9.07,6.49,4.56,4.3,3.01,2.51,1.69,1.54
3,2007-01-22,0.069,260.59,91.82,32.59,62.2,0.0,0.0,0.0,0.0,0.04,0.25,1.18,1.94,3.01,5.88,19.44,16.39,16.57,11.37,6.81,5.77,4.16,2.76,2.33,0.93,1.15
4,2007-01-29,0.08,263.26,94.31,27.14,60.73,0.0,0.0,0.0,0.0,0.0,0.11,0.43,1.26,2.69,4.2,21.74,20.62,19.26,12.66,6.74,5.56,2.3,1.15,0.9,0.22,0.18
5,2007-02-05,0.092,266.07,93.29,22.63,57.96,0.0,0.0,0.0,0.0,0.0,0.04,0.54,0.97,3.12,6.28,25.61,25.5,21.05,10.22,4.02,1.72,0.65,0.22,0.0,0.07,0.0
6,2007-02-12,0.105,268.88,90.51,20.13,55.32,0.0,0.0,0.0,0.0,0.0,0.04,0.65,1.83,5.06,10.62,28.66,29.38,16.82,5.09,1.47,0.32,0.04,0.04,0.0,0.0,0.0
7,2007-02-19,0.11900000000000001,271.7,88.35,17.54,52.94,0.0,0.0,0.0,0.0,0.0,0.11,0.9,3.26,9.65,15.35,29.48,27.3,11.08,2.37,0.32,0.11,0.07,0.0,0.0,0.0,0.0
8,2007-02-26,0.131,275.44,86.36,12.74,49.55,0.0,0.0,0.0,0.0,0.0,0.57,2.4,8.54,15.06,18.08,32.03,18.36,4.02,0.72,0.14,0.07,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.139,279.44,82.94,8.24,45.59,0.0,0.0,0.0,0.0,0.25,2.08,7.21,15.57,20.34,18.69,27.04,6.38,1.97,0.43,0.04,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.147,282.34,79.09,6.7,42.89,0.0,0.0,0.0,0.07,0.61,4.27,12.05,20.44,22.2,16.75,18.36,3.52,1.58,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.157,284.67,76.2,8.05,42.13,0.0,0.0,0.0,0.04,1.11,5.02,13.16,22.06,23.13,16.57,13.52,3.52,1.65,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.171,286.98,75.78,8.95,42.36,0.0,0.0,0.0,0.04,0.93,4.52,12.37,23.03,22.96,17.68,11.94,4.59,1.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.187,289.14,74.07,9.65,41.86,0.0,0.0,0.0,0.04,0.75,4.52,13.52,23.92,24.61,16.86,10.11,3.77,1.43,0.39,0.07,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.2,290.61,69.58,12.19,40.89,0.0,0.0,0.0,0.22,0.97,5.95,16.64,24.43,23.17,15.39,8.18,3.44,1.15,0.43,0.04,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.22399999999999998,292.3,67.42,14.99,41.2,0.0,0.0,0.0,0.11,1.51,6.71,15.85,22.88,21.52,15.93,9.4,3.73,1.69,0.54,0.14,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.26,294.59,68.04,15.44,41.74,0.0,0.0,0.0,0.18,1.61,7.1,16.25,20.77,20.52,15.35,9.33,4.88,2.55,0.97,0.47,0.04,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.301,296.97,70.67,13.45,42.06,0.0,0.04,0.04,0.22,2.15,6.96,16.36,20.05,19.01,14.67,9.65,5.16,3.26,1.58,0.65,0.18,0.04,0.0,0.0,0.0,0.0
