,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.136,272.13,97.07,0.92,49.0,0.0,0.0,0.0,0.0,0.11,0.54,1.36,2.39,5.39,8.54,79.71,1.63,0.22,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.122,270.74,90.98,4.12,47.55,0.0,0.0,0.0,0.05,0.16,1.36,3.37,7.83,12.73,17.08,50.98,5.01,1.2,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0
2,2007-01-15,0.10800000000000001,269.43,76.91,12.53,44.72,0.0,0.0,0.0,0.0,0.65,2.61,8.16,15.67,23.5,20.46,20.13,7.4,1.03,0.33,0.0,0.05,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.096,267.56,58.61,27.51,43.06,0.0,0.0,0.0,0.0,0.27,2.88,11.81,21.11,25.9,19.64,11.48,5.28,1.36,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.087,266.16,44.27,41.23,42.75,0.0,0.0,0.0,0.0,0.16,2.83,12.24,24.43,24.32,18.34,10.77,4.79,1.8,0.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.086,265.91,38.43,48.12,43.28,0.0,0.0,0.0,0.0,0.11,1.9,10.83,25.14,24.21,17.52,12.57,5.88,1.41,0.33,0.11,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.092,266.97,37.63,48.31,42.97,0.0,0.0,0.0,0.0,0.33,1.74,12.19,25.57,23.72,17.57,11.81,5.22,1.58,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.10400000000000001,269.52,41.51,43.6,42.55,0.0,0.0,0.0,0.0,0.16,1.9,11.26,25.84,26.93,17.74,10.5,4.19,1.2,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.127,272.83,49.87,36.12,42.99,0.0,0.0,0.0,0.0,0.11,1.36,9.63,24.05,28.89,21.11,9.9,3.48,1.09,0.33,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.154,276.15,58.69,29.43,44.06,0.0,0.0,0.0,0.0,0.16,0.65,5.77,19.53,32.37,24.16,12.19,3.97,0.92,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0
