,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.12,275.85,70.61,1.23,35.92,0.0,0.0,0.75,5.97,12.0,14.47,15.17,12.48,11.62,7.21,20.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.11900000000000001,275.23,71.9,1.71,36.8,0.0,0.0,0.27,4.46,10.38,15.12,14.85,13.39,12.26,8.77,20.39,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.12300000000000001,275.55,74.33,2.02,38.18,0.0,0.0,0.16,2.15,7.85,14.42,14.31,15.87,13.45,10.27,21.14,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.126,276.33,76.57,2.45,39.51,0.0,0.0,0.0,1.08,4.41,12.1,15.92,16.57,15.6,11.4,22.27,0.54,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.128,276.34,75.86,5.02,40.44,0.0,0.0,0.0,0.43,2.9,10.06,16.73,18.18,16.84,11.51,21.46,1.78,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.127,276.27,72.09,10.25,41.17,0.0,0.0,0.0,0.16,2.42,7.96,17.54,19.69,17.16,13.66,15.12,5.22,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.124,276.51,64.45,16.44,40.44,0.0,0.0,0.0,0.22,1.94,9.79,17.64,22.38,17.32,15.81,8.45,4.36,1.83,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.126,277.94,59.58,18.72,39.15,0.0,0.0,0.0,0.16,1.94,11.03,20.55,23.67,18.93,12.86,6.83,2.8,1.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.138,280.3,59.87,17.8,38.84,0.0,0.0,0.0,0.0,1.72,10.38,21.73,26.09,18.67,11.78,6.13,2.58,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.149,282.93,58.51,16.55,37.53,0.0,0.0,0.0,0.11,2.74,13.93,23.13,26.14,17.05,9.52,4.52,2.53,0.27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.16699999999999998,285.45,60.56,12.97,36.77,0.0,0.0,0.0,0.65,4.95,14.36,23.88,25.23,15.81,8.07,4.9,1.88,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.187,287.92,63.69,10.27,36.98,0.0,0.0,0.0,0.81,5.11,14.85,22.16,24.26,16.25,8.66,5.33,2.21,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.21100000000000002,290.3,67.22,9.6,38.41,0.0,0.0,0.0,0.59,3.5,12.53,20.98,22.32,18.34,11.89,6.08,2.64,0.86,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.23,292.08,67.77,11.61,39.69,0.0,0.0,0.05,0.59,2.47,10.01,19.8,22.32,17.81,13.29,7.85,3.44,1.51,0.7,0.16,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.242,293.28,65.08,16.41,40.74,0.0,0.0,0.05,0.7,2.85,8.45,18.67,20.71,16.46,14.58,8.71,4.63,2.58,1.34,0.27,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.261,295.36,63.58,15.72,39.65,0.0,0.16,0.32,1.02,4.14,12.0,18.56,18.83,15.28,12.75,8.5,4.63,2.69,0.86,0.27,0.0,0.0,0.0,0.0,0.0,0.0
