,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.105,270.72,95.45,3.17,49.31,0.0,0.0,0.0,0.0,0.36,0.83,1.97,3.1,4.53,5.96,77.34,3.4,1.55,0.42,0.3,0.12,0.12,0.0,0.0,0.0,0.0
1,2007-01-08,0.10099999999999999,269.7,92.48,5.89,49.19,0.0,0.0,0.0,0.06,0.42,0.95,3.88,5.07,7.1,9.42,60.35,7.93,2.62,1.31,0.6,0.12,0.18,0.0,0.0,0.0,0.0
2,2007-01-15,0.099,269.0,89.61,9.28,49.45,0.0,0.0,0.0,0.18,0.42,1.91,4.29,6.44,8.83,10.97,48.42,8.23,5.96,2.56,1.19,0.36,0.18,0.06,0.0,0.0,0.0
3,2007-01-22,0.098,268.37,88.05,13.65,50.85,0.0,0.0,0.0,0.12,0.36,1.25,3.7,7.22,9.78,12.16,36.31,12.58,8.53,5.25,1.79,0.66,0.18,0.06,0.06,0.0,0.0
4,2007-01-29,0.10099999999999999,268.48,85.75,17.0,51.37,0.0,0.0,0.0,0.0,0.3,1.19,3.4,7.87,12.1,13.18,28.86,15.09,8.65,6.08,2.39,0.6,0.24,0.06,0.0,0.0,0.0
5,2007-02-05,0.107,269.37,82.07,19.92,51.0,0.0,0.0,0.0,0.0,0.12,0.78,3.16,8.29,13.83,15.09,25.22,17.05,10.97,4.35,1.07,0.06,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.115,270.88,80.07,21.09,50.58,0.0,0.0,0.0,0.0,0.0,0.83,2.09,8.23,14.25,19.26,22.12,21.65,9.24,2.21,0.12,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.127,273.15,80.02,19.5,49.76,0.0,0.0,0.0,0.0,0.06,0.6,2.56,8.77,13.36,23.2,23.79,20.99,5.96,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.14,275.79,80.29,17.94,49.12,0.0,0.0,0.0,0.0,0.06,0.78,2.62,8.41,16.28,23.43,25.4,18.6,4.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.154,279.15,80.34,14.38,47.36,0.0,0.0,0.0,0.06,0.06,1.31,3.76,12.16,18.13,25.58,22.48,14.61,1.73,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.16899999999999998,282.11,79.88,9.03,44.46,0.0,0.0,0.0,0.18,0.66,2.68,7.45,15.09,24.87,22.84,20.16,5.72,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.183,284.37,78.82,10.66,44.74,0.0,0.0,0.0,0.18,0.6,2.74,7.81,14.01,23.97,23.97,17.71,8.35,0.54,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.203,286.96,80.74,9.72,45.23,0.0,0.0,0.0,0.18,0.72,2.5,6.98,13.95,22.6,22.96,19.74,9.48,0.78,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.228,289.38,81.89,6.37,44.13,0.0,0.0,0.06,0.3,0.42,3.4,8.29,16.76,22.84,21.88,18.66,6.2,1.01,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.248,291.04,77.29,7.34,42.31,0.0,0.0,0.0,0.36,1.19,5.66,11.21,21.11,22.78,19.44,12.22,4.17,1.55,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.271,292.63,72.12,10.91,41.52,0.0,0.0,0.06,0.36,2.09,6.5,14.25,21.41,20.51,17.77,9.84,4.83,1.79,0.54,0.06,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.299,294.43,69.33,12.21,40.77,0.0,0.0,0.0,0.89,3.4,9.0,17.17,20.1,17.23,13.71,9.54,5.49,2.15,0.89,0.36,0.0,0.06,0.0,0.0,0.0,0.0
17,2007-04-30,0.32799999999999996,296.22,67.79,12.16,39.97,0.0,0.0,0.3,1.43,5.13,11.45,18.07,20.04,13.95,9.72,9.18,5.9,2.68,1.31,0.54,0.18,0.06,0.06,0.0,0.0,0.0
18,2007-05-07,0.35700000000000004,297.84,65.12,11.17,38.15,0.0,0.06,0.89,3.4,8.29,13.3,19.02,16.46,12.7,8.41,7.22,5.25,2.5,1.49,0.6,0.24,0.18,0.0,0.0,0.0,0.0
19,2007-05-14,0.38299999999999995,299.05,61.85,10.25,36.05,0.12,0.78,2.92,6.08,9.0,15.21,16.7,15.62,10.61,7.69,6.8,3.7,2.03,1.85,0.54,0.3,0.06,0.0,0.0,0.0,0.0
20,2007-05-21,0.40299999999999997,299.89,58.64,9.85,34.24,1.43,2.92,5.13,6.86,11.33,13.66,13.6,12.05,9.36,7.69,7.16,3.76,2.8,1.37,0.66,0.24,0.0,0.0,0.0,0.0,0.0
