,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.135,274.22,97.94,2.24,50.09,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.94,4.69,7.19,80.47,4.84,0.94,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.134,274.46,97.05,2.78,49.91,0.0,0.0,0.0,0.0,0.0,0.31,0.78,1.56,5.94,8.12,76.25,5.0,1.41,0.47,0.16,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.132,274.8,95.1,3.57,49.34,0.0,0.0,0.0,0.0,0.16,0.47,0.78,3.12,6.88,13.12,69.38,4.22,1.41,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.138,275.93,93.62,3.43,48.52,0.0,0.0,0.0,0.0,0.47,0.16,1.41,5.0,10.62,14.38,63.91,2.97,0.78,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.14,276.21,89.33,5.41,47.37,0.0,0.0,0.0,0.0,0.47,0.62,3.44,7.5,16.09,19.38,47.81,3.75,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.14300000000000002,276.9,83.57,7.62,45.59,0.0,0.0,0.0,0.0,0.31,2.19,4.69,15.31,18.28,27.5,27.34,3.12,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.14800000000000002,277.61,78.26,10.23,44.25,0.0,0.0,0.0,0.0,0.47,2.97,5.78,17.81,25.16,26.56,15.94,4.22,0.94,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.158,279.15,76.98,10.38,43.68,0.0,0.0,0.0,0.0,0.47,2.97,6.88,19.69,27.66,24.69,11.56,4.38,1.41,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.174,281.11,79.18,9.81,44.49,0.0,0.0,0.0,0.0,0.16,2.03,5.94,18.59,28.44,24.69,11.56,5.78,2.19,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.18899999999999997,282.85,80.17,10.72,45.45,0.0,0.0,0.0,0.0,0.0,1.41,4.38,16.56,28.28,26.09,12.5,7.19,2.19,1.25,0.16,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.20600000000000002,284.06,80.88,11.08,45.98,0.0,0.0,0.0,0.0,0.0,0.78,4.38,17.66,27.03,24.38,13.75,6.25,3.75,1.41,0.47,0.16,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.23399999999999999,285.83,85.3,12.41,48.85,0.0,0.0,0.0,0.0,0.0,0.78,0.78,10.31,21.25,25.0,21.88,12.19,4.53,2.81,0.47,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.266,287.92,90.88,10.32,50.6,0.0,0.0,0.0,0.0,0.0,0.16,0.62,5.78,14.84,21.41,30.78,19.38,4.69,1.88,0.47,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.297,289.31,94.91,8.19,51.55,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.66,10.0,19.38,40.78,19.53,4.69,2.19,0.16,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.32899999999999996,290.21,96.77,8.79,52.78,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.25,6.56,15.47,46.09,18.44,8.59,2.34,0.62,0.31,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.363,291.4,96.5,9.95,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.25,4.53,14.69,44.22,22.5,8.75,3.12,0.16,0.62,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.4,292.94,96.02,10.07,53.04,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.03,4.06,15.31,46.72,17.66,9.84,2.97,0.62,0.16,0.16,0.16,0.0,0.0,0.0
17,2007-04-30,0.431,293.99,94.37,12.19,53.28,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.34,5.62,22.66,31.56,16.88,12.03,5.31,1.41,0.62,0.16,0.16,0.0,0.0,0.0
18,2007-05-07,0.45799999999999996,294.98,91.96,12.65,52.31,0.0,0.0,0.0,0.0,0.0,0.16,1.09,4.53,9.38,29.06,21.72,15.62,10.16,5.62,1.88,0.47,0.31,0.0,0.0,0.0,0.0
19,2007-05-14,0.479,295.75,89.96,13.87,51.91,0.0,0.0,0.0,0.0,0.0,0.62,1.56,4.53,14.53,23.75,20.31,14.38,11.72,5.62,2.81,0.0,0.16,0.0,0.0,0.0,0.0
20,2007-05-21,0.498,296.52,88.77,13.81,51.29,0.0,0.0,0.0,0.0,0.16,0.94,2.81,5.78,15.47,22.81,18.44,14.06,11.56,5.16,2.66,0.16,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.513,297.02,88.84,14.45,51.65,0.0,0.0,0.0,0.0,0.47,0.47,2.19,6.56,13.59,22.66,18.28,13.91,12.97,6.41,2.5,0.0,0.0,0.0,0.0,0.0,0.0
22,2007-06-04,0.522,297.22,89.3,16.11,52.7,0.0,0.0,0.16,0.0,0.31,0.47,2.03,5.62,11.41,17.5,22.5,16.88,12.03,8.44,2.66,0.0,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.525,297.21,88.92,16.06,52.49,0.0,0.0,0.16,0.16,0.47,0.31,3.44,6.09,12.19,16.09,17.81,19.69,12.5,8.59,2.5,0.0,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.525,297.2,86.55,14.08,50.31,0.0,0.16,0.31,0.31,0.78,2.81,3.59,7.5,13.59,16.88,18.91,16.25,11.72,6.09,1.09,0.0,0.0,0.0,0.0,0.0,0.0
25,2007-06-25,0.524,297.48,83.73,11.01,47.37,0.16,0.47,0.47,0.62,1.41,4.84,5.16,8.75,15.62,17.66,19.69,12.81,8.12,3.75,0.47,0.0,0.0,0.0,0.0,0.0,0.0
26,2007-07-02,0.525,298.0,82.23,8.55,45.39,0.62,0.31,0.94,1.25,1.72,5.16,7.66,10.94,15.47,18.44,17.5,10.47,6.41,2.19,0.94,0.0,0.0,0.0,0.0,0.0,0.0
27,2007-07-09,0.517,297.99,78.02,10.41,44.21,0.78,0.78,0.78,2.34,3.12,6.88,7.5,11.09,15.0,16.72,14.69,10.62,4.22,4.38,0.94,0.16,0.0,0.0,0.0,0.0,0.0
28,2007-07-16,0.51,297.88,75.21,13.54,44.37,0.94,1.09,0.62,2.5,4.06,5.47,7.81,10.16,17.66,12.81,15.0,9.53,5.94,3.91,1.88,0.62,0.0,0.0,0.0,0.0,0.0
29,2007-07-23,0.503,297.76,73.82,16.3,45.06,0.31,0.47,1.72,2.19,3.44,5.62,8.28,10.16,15.31,15.62,13.44,10.47,6.72,2.97,2.5,0.78,0.0,0.0,0.0,0.0,0.0
30,2007-07-30,0.495,297.43,72.0,18.44,45.22,0.31,0.16,1.41,1.41,4.38,5.78,6.41,12.03,13.91,17.97,14.69,10.16,5.16,3.59,2.03,0.47,0.16,0.0,0.0,0.0,0.0
31,2007-08-06,0.48200000000000004,296.85,67.96,23.97,45.97,0.16,0.62,0.47,2.34,3.91,3.91,7.34,10.94,14.53,17.5,15.78,9.22,6.25,3.59,2.19,0.94,0.31,0.0,0.0,0.0,0.0
32,2007-08-13,0.46799999999999997,295.91,63.76,32.22,47.99,0.0,0.31,0.78,1.72,2.66,4.69,4.84,8.91,14.38,16.72,16.56,11.09,7.97,5.47,2.03,1.56,0.31,0.0,0.0,0.0,0.0
33,2007-08-20,0.461,294.76,64.13,42.75,53.44,0.0,0.0,0.0,0.31,1.25,3.12,4.53,5.94,9.06,14.84,15.78,13.44,12.34,9.38,5.94,3.12,0.78,0.0,0.16,0.0,0.0
34,2007-08-27,0.46,293.79,71.54,45.79,58.67,0.0,0.0,0.0,0.16,0.0,1.72,2.5,5.0,4.69,8.28,16.09,15.78,13.44,11.72,11.09,5.31,3.59,0.47,0.16,0.0,0.0
35,2007-09-03,0.452,292.66,76.43,45.72,61.07,0.0,0.0,0.0,0.0,0.16,0.31,1.25,3.44,5.94,5.62,12.34,15.16,16.88,14.38,13.12,6.88,4.06,0.47,0.0,0.0,0.0
36,2007-09-10,0.442,291.63,80.3,42.11,61.21,0.0,0.0,0.0,0.0,0.0,0.16,1.09,2.97,4.22,7.19,10.16,16.72,17.03,19.69,11.88,7.81,1.09,0.0,0.0,0.0,0.0
37,2007-09-17,0.43,290.67,83.19,37.93,60.56,0.0,0.0,0.0,0.0,0.16,0.0,0.78,2.5,5.0,7.97,12.81,16.72,16.88,16.25,13.91,6.56,0.47,0.0,0.0,0.0,0.0
38,2007-09-24,0.413,289.42,84.33,36.96,60.65,0.0,0.0,0.0,0.0,0.16,0.0,0.62,2.03,4.69,7.97,13.12,17.03,18.59,14.84,12.19,7.66,1.09,0.0,0.0,0.0,0.0
39,2007-10-01,0.392,288.29,84.98,35.76,60.37,0.0,0.0,0.0,0.0,0.0,0.16,0.62,1.56,4.84,9.22,14.06,17.97,17.81,15.0,10.78,5.78,1.88,0.31,0.0,0.0,0.0
40,2007-10-08,0.364,286.56,83.12,33.82,58.47,0.0,0.0,0.0,0.0,0.0,0.0,0.47,2.66,6.09,10.47,17.34,18.59,19.06,10.94,9.84,3.44,0.78,0.31,0.0,0.0,0.0
41,2007-10-15,0.32899999999999996,283.9,78.78,41.16,59.97,0.0,0.0,0.0,0.0,0.0,0.16,0.31,0.78,4.84,8.44,16.56,19.84,20.0,12.19,9.22,5.31,2.19,0.16,0.0,0.0,0.0
42,2007-10-22,0.29,281.25,74.31,44.44,59.38,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.09,4.38,10.94,15.78,21.72,17.97,14.22,7.03,5.31,1.41,0.0,0.0,0.0,0.0
43,2007-10-29,0.252,279.3,71.47,36.4,53.94,0.0,0.0,0.0,0.0,0.0,0.0,1.09,3.28,10.16,16.41,26.41,18.12,14.22,7.5,2.5,0.31,0.0,0.0,0.0,0.0,0.0
44,2007-11-05,0.217,277.0,69.41,31.36,50.38,0.0,0.0,0.0,0.0,0.16,0.62,2.66,9.69,15.31,20.62,18.91,17.19,10.31,4.22,0.31,0.0,0.0,0.0,0.0,0.0,0.0
45,2007-11-12,0.187,274.71,68.17,31.21,49.69,0.0,0.0,0.0,0.16,0.16,0.78,4.38,11.88,16.56,18.28,15.0,16.88,11.88,3.75,0.31,0.0,0.0,0.0,0.0,0.0,0.0
46,2007-11-19,0.157,272.4,65.52,33.42,49.47,0.0,0.0,0.0,0.16,0.16,1.41,6.25,15.0,17.34,12.5,11.09,16.09,12.5,6.56,0.94,0.0,0.0,0.0,0.0,0.0,0.0
47,2007-11-26,0.131,270.18,60.88,36.94,48.91,0.0,0.0,0.0,0.0,0.31,1.88,7.03,14.38,17.5,13.91,13.12,13.28,11.25,5.62,1.41,0.31,0.0,0.0,0.0,0.0,0.0
48,2007-12-03,0.105,268.11,51.28,39.29,45.28,0.0,0.0,0.0,0.0,0.47,2.03,12.19,20.47,16.56,14.69,16.88,9.84,5.94,0.78,0.16,0.0,0.0,0.0,0.0,0.0,0.0
49,2007-12-10,0.09,266.56,47.84,37.47,42.66,0.0,0.0,0.0,0.0,0.62,4.53,14.69,19.84,20.94,18.91,12.66,6.41,1.25,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2007-12-17,0.083,265.69,50.25,34.06,42.15,0.0,0.0,0.0,0.0,0.78,4.22,12.03,21.56,26.72,18.75,11.72,3.59,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2007-12-24,0.076,265.12,47.93,34.3,41.11,0.0,0.0,0.0,0.16,0.47,4.22,11.41,25.94,30.94,19.22,6.41,0.78,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2007-12-31,0.077,265.74,49.71,31.96,40.83,0.0,0.0,0.0,0.31,1.09,4.69,10.78,27.03,29.22,19.53,5.62,1.56,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2008-01-07,0.084,266.92,55.43,28.54,41.99,0.0,0.0,0.16,0.31,0.78,3.28,10.31,20.0,30.47,24.06,8.59,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2008-01-14,0.094,268.01,64.29,25.93,45.11,0.0,0.0,0.16,0.31,0.47,2.34,5.62,13.44,23.75,27.19,19.84,5.94,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2008-01-21,0.106,270.06,69.69,21.99,45.84,0.0,0.0,0.16,0.16,0.62,1.09,4.53,10.94,24.22,30.62,18.75,7.81,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2008-01-28,0.122,272.76,76.53,15.83,46.18,0.0,0.0,0.0,0.31,0.31,1.41,3.44,11.09,23.12,31.09,20.31,8.75,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2008-02-04,0.14,275.12,82.35,12.54,47.44,0.0,0.0,0.0,0.0,0.78,0.62,2.81,9.84,19.06,26.41,28.28,12.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2008-02-11,0.153,276.87,81.89,12.25,47.07,0.0,0.0,0.0,0.0,0.47,1.56,2.81,11.25,19.84,24.53,28.12,10.94,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2008-02-18,0.166,278.91,82.55,11.12,46.84,0.0,0.0,0.0,0.0,0.62,1.72,4.38,9.84,20.31,25.31,27.81,8.91,0.94,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2008-02-25,0.182,280.91,84.22,10.9,47.56,0.0,0.0,0.0,0.0,0.16,1.72,3.28,8.75,18.75,24.38,32.19,9.53,0.78,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2008-03-03,0.198,282.19,85.29,13.68,49.49,0.0,0.0,0.0,0.0,0.0,0.94,3.28,5.94,14.69,21.72,33.12,15.47,3.75,0.62,0.47,0.0,0.0,0.0,0.0,0.0,0.0
62,2008-03-10,0.213,283.27,84.95,14.67,49.81,0.0,0.0,0.0,0.0,0.0,0.47,2.97,6.56,14.84,23.12,29.84,15.62,3.91,2.03,0.31,0.16,0.16,0.0,0.0,0.0,0.0
63,2008-03-17,0.226,284.18,82.63,19.84,51.24,0.0,0.0,0.0,0.0,0.0,0.47,1.88,5.0,12.03,23.59,27.03,19.38,7.5,2.19,0.78,0.16,0.0,0.0,0.0,0.0,0.0
64,2008-03-24,0.245,285.32,82.56,22.96,52.76,0.0,0.0,0.0,0.0,0.0,0.16,1.41,3.59,8.91,19.84,27.03,22.03,12.81,3.75,0.47,0.0,0.0,0.0,0.0,0.0,0.0
65,2008-03-31,0.264,286.47,80.89,24.38,52.63,0.0,0.0,0.0,0.0,0.0,0.0,1.72,3.28,9.69,21.88,24.84,22.03,12.34,4.06,0.16,0.0,0.0,0.0,0.0,0.0,0.0
66,2008-04-07,0.289,287.39,80.61,27.59,54.1,0.0,0.0,0.0,0.0,0.0,0.0,1.09,2.5,9.53,17.03,24.22,22.19,15.47,6.25,1.72,0.0,0.0,0.0,0.0,0.0,0.0
67,2008-04-14,0.32299999999999995,288.16,80.83,34.64,57.74,0.0,0.0,0.0,0.0,0.0,0.0,0.16,1.25,6.25,12.34,17.34,22.66,19.53,12.19,6.09,2.03,0.16,0.0,0.0,0.0,0.0
68,2008-04-21,0.358,288.97,80.25,43.01,61.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,2.5,7.81,16.56,17.66,17.81,16.41,11.25,5.31,3.12,0.62,0.0,0.16,0.0
69,2008-04-28,0.396,289.84,81.55,50.0,65.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.56,5.0,10.78,17.5,15.0,13.44,13.75,10.0,7.97,3.28,0.94,0.47,0.0
70,2008-05-05,0.43,290.82,82.07,52.77,67.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.5,5.78,8.44,13.75,12.66,13.75,11.88,14.69,8.75,5.16,1.88,0.31,0.31
71,2008-05-12,0.45399999999999996,291.44,80.56,56.32,68.44,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,2.97,5.47,9.22,11.88,12.5,9.84,11.88,12.34,11.09,7.66,3.28,0.78,0.47
72,2008-05-19,0.478,292.67,80.56,52.69,66.62,0.0,0.0,0.0,0.0,0.0,0.16,0.47,2.19,2.81,5.94,10.16,12.34,11.56,11.56,10.94,12.81,11.88,4.06,1.88,0.94,0.31
73,2008-05-26,0.49700000000000005,293.97,81.07,45.46,63.26,0.0,0.0,0.0,0.0,0.16,0.78,0.94,2.66,4.06,7.66,12.19,14.06,9.84,13.75,12.5,12.19,5.16,2.5,1.09,0.47,0.0
74,2008-06-02,0.506,294.59,80.68,43.07,61.87,0.0,0.0,0.0,0.0,0.0,0.62,1.56,2.19,4.53,8.28,12.66,14.69,13.75,12.5,14.06,8.91,3.59,2.03,0.62,0.0,0.0
75,2008-06-09,0.511,295.17,80.16,38.58,59.37,0.0,0.0,0.0,0.0,0.16,0.78,2.19,2.5,5.94,8.91,16.09,16.41,12.19,15.16,10.94,4.69,2.34,1.25,0.47,0.0,0.0
76,2008-06-16,0.519,295.84,81.95,30.57,56.26,0.0,0.0,0.0,0.16,0.62,1.25,3.44,4.22,6.41,11.56,16.88,15.78,15.62,12.34,6.09,3.28,1.41,0.47,0.47,0.0,0.0
