,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.102,268.93,88.94,4.02,46.48,0.0,0.0,0.1,0.63,1.98,3.36,5.57,6.99,9.26,10.91,55.09,3.2,1.55,0.92,0.33,0.13,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.09300000000000001,267.33,76.63,9.96,43.29,0.0,0.0,0.16,1.52,3.56,5.57,10.81,13.31,14.76,13.9,28.2,4.88,2.24,0.66,0.3,0.1,0.0,0.0,0.0,0.03,0.0
2,2007-01-15,0.086,266.16,65.22,17.41,41.32,0.0,0.0,0.23,1.38,3.66,8.67,14.96,17.92,17.66,13.48,11.99,5.63,2.54,0.99,0.53,0.3,0.03,0.0,0.0,0.0,0.03
3,2007-01-22,0.081,265.41,58.68,24.73,41.71,0.0,0.0,0.03,0.43,2.34,7.78,16.61,20.66,18.71,13.48,9.79,5.07,2.37,1.71,0.63,0.33,0.0,0.03,0.0,0.03,0.0
4,2007-01-29,0.075,264.63,52.98,33.69,43.34,0.0,0.0,0.0,0.07,0.86,3.92,13.41,21.02,21.85,17.46,11.37,4.81,2.57,1.78,0.59,0.23,0.03,0.03,0.0,0.0,0.0
5,2007-02-05,0.07200000000000001,264.38,47.13,40.99,44.06,0.0,0.0,0.0,0.0,0.16,2.67,9.59,20.33,25.17,20.16,12.22,5.93,2.24,1.19,0.23,0.07,0.03,0.0,0.0,0.0,0.0
6,2007-02-12,0.07200000000000001,264.69,41.78,47.03,44.4,0.0,0.0,0.0,0.0,0.07,1.71,8.63,20.13,25.47,21.61,12.78,6.33,2.31,0.66,0.23,0.03,0.03,0.0,0.0,0.0,0.0
7,2007-02-19,0.078,266.06,40.06,49.01,44.53,0.0,0.0,0.0,0.0,0.03,1.29,8.34,21.19,25.6,20.49,12.52,6.66,2.8,0.82,0.16,0.1,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.092,268.84,44.2,43.55,43.88,0.0,0.0,0.0,0.0,0.07,1.52,8.6,22.93,26.79,19.24,12.06,5.83,2.24,0.59,0.1,0.0,0.03,0.0,0.0,0.0,0.0
9,2007-03-05,0.11599999999999999,272.76,53.05,33.42,43.24,0.0,0.0,0.0,0.0,0.03,2.11,9.26,23.89,28.24,19.04,11.07,4.15,1.85,0.3,0.03,0.03,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.146,276.58,62.74,22.32,42.53,0.0,0.0,0.0,0.0,0.1,2.6,9.79,24.02,29.39,21.12,9.13,3.06,0.69,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.17300000000000001,279.73,68.62,18.36,43.49,0.0,0.0,0.0,0.0,0.13,2.27,8.01,19.77,28.76,24.58,11.6,3.99,0.82,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.198,282.75,73.82,14.32,44.07,0.0,0.0,0.0,0.03,0.3,1.81,7.41,18.78,26.26,24.91,14.89,4.48,1.05,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.22699999999999998,285.36,79.55,11.04,45.29,0.0,0.0,0.0,0.03,0.2,1.35,6.06,15.58,24.35,24.74,19.34,6.92,1.29,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.252,286.89,80.37,15.17,47.77,0.0,0.0,0.0,0.03,0.2,1.09,4.74,10.87,19.44,22.01,23.33,12.92,4.35,0.76,0.23,0.0,0.03,0.0,0.0,0.0,0.0
15,2007-04-16,0.282,288.52,79.68,21.49,50.59,0.0,0.0,0.0,0.03,0.16,0.76,3.56,7.35,14.76,19.51,22.47,17.27,8.93,3.99,0.96,0.23,0.03,0.0,0.0,0.0,0.0
16,2007-04-23,0.314,290.52,77.6,24.86,51.23,0.0,0.0,0.0,0.07,0.36,0.63,2.67,7.71,13.9,17.83,22.93,16.71,10.81,4.58,1.22,0.49,0.1,0.0,0.0,0.0,0.0
17,2007-04-30,0.349,292.52,77.2,23.9,50.55,0.0,0.0,0.03,0.03,0.53,0.92,3.29,8.3,13.94,19.84,20.89,16.94,9.88,3.72,1.02,0.43,0.2,0.03,0.0,0.0,0.0
18,2007-05-07,0.385,294.31,77.61,20.7,49.16,0.0,0.0,0.0,0.23,0.4,1.25,4.45,9.98,15.58,21.05,21.12,14.23,7.81,2.6,0.72,0.49,0.03,0.03,0.0,0.0,0.0
19,2007-05-14,0.42100000000000004,295.51,80.15,20.88,50.51,0.0,0.0,0.07,0.1,0.36,1.38,3.62,8.5,14.14,19.18,19.74,16.08,11.17,3.82,1.35,0.46,0.03,0.0,0.0,0.0,0.0
20,2007-05-21,0.449,296.45,81.91,20.53,51.22,0.0,0.0,0.16,0.0,0.36,1.25,3.86,7.28,13.08,18.71,18.39,17.83,11.07,6.03,1.52,0.36,0.1,0.0,0.0,0.0,0.0
21,2007-05-28,0.46799999999999997,297.11,81.44,18.76,50.1,0.0,0.0,0.1,0.4,0.49,1.75,4.42,8.6,14.5,17.66,20.0,15.26,10.18,4.61,1.78,0.23,0.03,0.0,0.0,0.0,0.0
22,2007-06-04,0.48200000000000004,297.56,80.71,18.13,49.42,0.0,0.03,0.2,0.49,0.96,2.17,4.38,10.02,13.84,18.12,19.57,14.79,9.23,4.65,1.35,0.2,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.488,297.44,78.0,22.49,50.24,0.0,0.1,0.16,0.46,1.15,2.14,4.25,8.37,12.92,17.4,18.52,16.38,9.88,5.67,2.17,0.43,0.0,0.0,0.0,0.0,0.0
24,2007-06-18,0.489,297.13,75.58,29.6,52.59,0.03,0.13,0.26,0.23,1.29,2.04,3.59,5.34,10.21,15.06,17.69,17.4,13.15,8.34,4.02,0.99,0.2,0.03,0.0,0.0,0.0
25,2007-06-25,0.489,297.26,75.07,31.73,53.4,0.1,0.16,0.2,0.56,1.32,1.75,3.1,5.07,8.63,14.33,16.8,17.33,14.79,9.49,4.91,1.09,0.26,0.1,0.0,0.0,0.0
26,2007-07-02,0.48700000000000004,297.48,74.94,33.62,54.28,0.1,0.16,0.23,0.69,0.79,2.04,2.77,4.35,7.94,12.88,16.41,18.32,15.16,10.87,5.5,1.42,0.26,0.1,0.0,0.0,0.0
27,2007-07-09,0.48200000000000004,297.27,75.39,40.09,57.74,0.03,0.07,0.2,0.46,0.82,1.12,2.04,4.09,5.4,9.49,12.36,16.8,16.9,15.06,10.48,3.89,0.66,0.13,0.0,0.0,0.0
28,2007-07-16,0.47600000000000003,297.11,76.3,45.94,61.12,0.0,0.03,0.1,0.2,0.49,1.02,1.45,3.03,4.18,6.36,10.71,13.74,17.0,16.38,14.23,8.93,1.94,0.2,0.0,0.0,0.0
29,2007-07-23,0.465,297.06,73.81,49.33,61.57,0.0,0.03,0.07,0.13,0.36,0.86,1.45,2.83,4.32,6.03,9.79,14.14,16.05,17.23,15.45,8.8,2.14,0.33,0.0,0.0,0.0
30,2007-07-30,0.45,296.87,69.42,50.06,59.74,0.0,0.07,0.13,0.23,0.72,1.32,1.88,3.13,4.81,7.08,11.76,14.4,16.71,16.08,14.37,5.6,1.38,0.33,0.0,0.0,0.0
31,2007-08-06,0.43700000000000006,296.91,66.02,45.18,55.6,0.13,0.03,0.46,0.69,1.35,1.85,3.29,4.58,7.81,9.0,13.77,15.78,15.42,13.28,8.8,2.97,0.69,0.1,0.0,0.0,0.0
32,2007-08-13,0.42100000000000004,296.73,61.75,37.15,49.45,0.26,0.46,0.96,1.32,2.57,3.79,5.86,8.53,9.85,13.18,15.26,14.4,12.03,7.58,3.0,0.82,0.13,0.0,0.0,0.0,0.0
33,2007-08-20,0.40299999999999997,296.17,57.03,26.72,41.88,0.92,1.12,2.11,3.29,5.27,7.58,9.52,11.17,13.94,13.87,13.18,9.75,5.11,2.27,0.66,0.23,0.0,0.0,0.0,0.0,0.0
34,2007-08-27,0.38799999999999996,295.37,55.59,18.52,37.05,1.75,1.71,3.29,5.24,7.31,10.31,11.6,14.3,13.97,12.59,9.62,5.01,2.08,0.99,0.16,0.07,0.0,0.0,0.0,0.0,0.0
35,2007-09-03,0.375,294.42,57.93,12.76,35.34,1.58,1.75,3.95,6.03,8.34,10.61,14.17,14.89,14.43,12.06,7.28,2.9,1.68,0.3,0.0,0.03,0.0,0.0,0.0,0.0,0.0
36,2007-09-10,0.35600000000000004,292.95,60.11,11.52,35.82,1.15,1.55,3.26,5.4,7.87,10.31,14.66,15.95,15.72,12.55,6.99,3.29,0.96,0.3,0.0,0.03,0.0,0.0,0.0,0.0,0.0
37,2007-09-17,0.33799999999999997,291.41,62.55,10.1,36.32,0.99,1.45,2.9,5.11,7.55,10.21,13.44,16.77,16.64,13.18,7.35,2.93,1.05,0.33,0.03,0.07,0.0,0.0,0.0,0.0,0.0
38,2007-09-24,0.316,289.57,62.03,10.21,36.12,1.09,1.78,2.93,5.34,6.92,10.48,14.23,17.73,15.58,11.6,7.64,2.9,0.99,0.66,0.1,0.03,0.0,0.0,0.0,0.0,0.0
