,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.162,278.39,84.72,1.83,43.27,0.0,0.0,0.0,0.1,1.04,4.48,9.75,15.95,19.81,17.21,30.55,0.89,0.16,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.162,278.21,86.35,1.99,44.17,0.0,0.0,0.0,0.1,1.04,2.29,8.6,14.18,19.71,19.4,33.47,0.89,0.16,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.166,278.38,88.29,2.26,45.27,0.0,0.0,0.0,0.21,0.26,2.14,6.15,12.04,17.88,20.44,39.16,1.25,0.26,0.0,0.16,0.05,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.175,279.08,90.31,2.41,46.36,0.0,0.0,0.0,0.05,0.36,0.94,4.8,9.02,16.42,19.5,47.45,0.99,0.21,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.18100000000000002,279.27,89.91,3.94,46.92,0.0,0.0,0.0,0.05,0.16,0.68,4.28,8.55,16.63,22.11,44.26,2.66,0.36,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.185,279.4,89.58,7.99,48.79,0.0,0.0,0.0,0.0,0.16,0.52,2.55,6.36,14.44,21.85,42.08,10.38,1.04,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.19,279.56,88.75,13.73,51.24,0.0,0.0,0.0,0.0,0.0,0.57,2.03,4.33,10.27,19.76,32.17,24.14,5.68,0.57,0.36,0.1,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.201,280.66,88.62,16.3,52.46,0.0,0.0,0.0,0.0,0.1,0.47,1.46,3.65,8.19,16.16,30.92,27.95,9.54,1.3,0.26,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.218,282.09,88.87,18.52,53.69,0.0,0.0,0.0,0.05,0.05,0.52,0.94,2.76,6.57,14.7,26.02,32.69,13.56,2.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.233,283.6,87.34,20.47,53.9,0.0,0.0,0.0,0.05,0.05,0.42,0.89,2.29,7.04,15.33,24.5,29.67,17.36,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.248,284.81,85.89,22.65,54.27,0.0,0.0,0.0,0.0,0.21,0.21,0.78,2.19,6.99,14.29,24.61,28.94,18.25,3.39,0.1,0.05,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.267,286.43,85.48,24.49,54.99,0.0,0.0,0.0,0.0,0.1,0.31,0.68,1.82,6.41,13.14,23.83,29.2,18.61,4.95,0.78,0.1,0.05,0.0,0.0,0.0,0.0
12,2007-03-26,0.293,288.47,86.36,26.5,56.43,0.0,0.0,0.0,0.05,0.1,0.16,0.68,1.72,5.37,11.11,20.59,26.8,21.17,8.55,2.61,0.89,0.21,0.0,0.0,0.0,0.0
13,2007-04-02,0.317,290.22,85.97,28.55,57.26,0.0,0.0,0.0,0.1,0.0,0.16,0.83,1.77,4.64,10.74,19.29,24.09,20.86,12.41,3.55,0.89,0.52,0.1,0.05,0.0,0.0
14,2007-04-09,0.337,291.47,84.51,32.19,58.35,0.0,0.0,0.0,0.1,0.0,0.1,0.63,1.82,4.43,9.75,17.57,21.17,21.48,13.87,6.15,2.29,0.57,0.0,0.05,0.0,0.0
15,2007-04-16,0.365,293.24,85.07,29.92,57.49,0.0,0.0,0.0,0.1,0.0,0.26,1.25,2.45,6.52,11.37,16.94,19.86,19.19,12.36,6.2,2.87,0.52,0.1,0.0,0.0,0.0
16,2007-04-23,0.39,295.35,85.29,24.32,54.8,0.0,0.0,0.0,0.05,0.21,0.89,2.29,4.69,11.05,13.56,18.25,16.53,14.18,10.43,4.95,2.35,0.57,0.0,0.0,0.0,0.0
