,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.08,267.85,89.39,8.18,48.79,0.0,0.0,0.0,0.08,0.58,1.79,4.12,7.97,11.27,13.14,43.18,9.68,4.94,2.1,0.89,0.19,0.04,0.04,0.0,0.0,0.0
1,2007-01-08,0.079,267.27,88.23,9.89,49.06,0.0,0.0,0.0,0.04,0.31,1.94,4.82,9.21,11.04,14.19,36.42,11.39,7.19,2.22,0.89,0.23,0.12,0.0,0.0,0.0,0.0
2,2007-01-15,0.079,267.2,86.49,11.24,48.86,0.0,0.0,0.0,0.04,0.31,1.52,6.02,9.48,12.48,14.77,31.75,13.33,7.35,2.33,0.39,0.19,0.04,0.0,0.0,0.0,0.0
3,2007-01-22,0.084,267.65,87.66,13.38,50.52,0.0,0.0,0.0,0.0,0.19,0.97,4.08,7.42,12.09,14.73,29.54,16.52,10.45,3.23,0.62,0.16,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.09300000000000001,269.05,90.2,13.41,51.8,0.0,0.0,0.0,0.0,0.04,0.66,2.64,5.36,9.48,13.21,32.53,21.88,10.96,2.84,0.31,0.08,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.10300000000000001,270.59,89.45,14.17,51.81,0.0,0.0,0.0,0.0,0.0,0.47,2.6,4.9,9.64,13.99,30.82,26.16,10.18,1.17,0.04,0.04,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.115,272.98,86.56,13.32,49.94,0.0,0.0,0.0,0.0,0.04,0.82,2.95,7.73,13.29,15.43,32.3,22.43,4.74,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.125,275.53,84.33,12.72,48.52,0.0,0.0,0.0,0.0,0.08,0.89,4.78,9.52,16.48,17.26,28.8,19.94,2.06,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.13699999999999998,278.53,82.84,11.3,47.07,0.0,0.0,0.0,0.0,0.0,1.17,6.41,12.59,19.01,16.83,29.38,13.33,1.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.145,282.01,78.09,8.92,43.51,0.0,0.0,0.0,0.0,0.51,4.24,11.39,19.51,19.9,16.44,21.92,5.56,0.43,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.154,284.82,74.81,5.9,40.35,0.0,0.0,0.0,0.04,1.55,8.74,17.53,21.73,20.52,13.72,13.6,2.41,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.16699999999999998,287.4,73.94,4.6,39.27,0.0,0.0,0.0,0.04,1.9,9.76,19.67,23.32,21.03,13.33,9.37,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.18600000000000003,290.02,75.65,3.84,39.75,0.0,0.0,0.0,0.08,1.09,7.23,18.62,25.15,23.71,13.68,9.33,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.205,292.21,75.53,3.74,39.64,0.0,0.0,0.0,0.04,0.78,5.91,18.23,29.42,23.94,12.94,7.85,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.21899999999999997,293.76,71.73,5.43,38.58,0.0,0.0,0.0,0.08,1.44,8.12,22.04,29.23,21.84,10.8,5.25,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.24100000000000002,295.39,69.89,7.28,38.58,0.0,0.0,0.0,0.08,1.59,8.86,21.41,29.19,20.75,11.04,5.05,1.79,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.268,297.37,69.42,7.14,38.28,0.0,0.0,0.0,0.23,2.14,10.03,22.89,27.28,19.94,10.18,4.59,1.83,0.74,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.294,299.56,69.06,5.21,37.14,0.0,0.0,0.08,0.58,3.58,11.78,26.16,27.05,16.56,7.81,3.65,1.75,0.66,0.27,0.0,0.04,0.0,0.04,0.0,0.0,0.0
18,2007-05-07,0.319,301.52,67.64,3.7,35.67,0.0,0.04,0.27,1.28,5.4,15.74,27.17,25.03,13.45,6.68,2.49,1.17,0.7,0.43,0.04,0.12,0.0,0.0,0.0,0.0,0.0
19,2007-05-14,0.33799999999999997,302.84,64.83,3.12,33.98,0.08,0.16,1.05,3.11,7.46,20.25,26.12,21.53,10.49,5.25,2.22,1.01,0.66,0.39,0.16,0.04,0.04,0.0,0.0,0.0,0.0
20,2007-05-21,0.353,303.91,62.14,2.41,32.28,0.39,0.74,2.41,5.48,11.27,20.44,23.12,18.42,9.17,4.59,1.75,0.89,0.66,0.35,0.16,0.12,0.0,0.04,0.0,0.0,0.0
21,2007-05-28,0.36,304.61,56.05,2.53,29.29,1.98,2.76,4.82,9.6,15.0,18.54,19.39,12.71,7.54,3.3,2.25,1.01,0.47,0.39,0.08,0.12,0.04,0.0,0.0,0.0,0.0
22,2007-06-04,0.358,304.57,47.26,4.51,25.89,5.13,5.99,10.03,13.87,15.47,13.99,11.82,9.17,5.67,4.12,1.9,1.24,0.97,0.31,0.12,0.19,0.0,0.0,0.0,0.0,0.0
23,2007-06-11,0.359,304.35,42.95,7.01,24.98,8.59,8.24,10.07,13.45,13.87,10.96,10.14,8.24,5.56,4.28,2.95,1.75,0.86,0.62,0.31,0.08,0.0,0.04,0.0,0.0,0.0
24,2007-06-18,0.364,304.44,45.31,8.62,26.97,8.71,6.45,9.44,10.65,13.56,11.7,9.6,8.59,6.8,5.48,3.69,2.53,1.05,1.17,0.54,0.0,0.0,0.04,0.0,0.0,0.0
25,2007-06-25,0.363,304.68,46.33,9.43,27.88,8.43,5.52,8.74,10.73,10.96,13.41,10.14,9.52,7.19,5.6,3.81,2.84,1.44,1.2,0.35,0.08,0.0,0.04,0.0,0.0,0.0
26,2007-07-02,0.358,305.08,44.91,7.79,26.35,8.43,6.26,9.29,12.48,12.24,12.9,10.69,8.94,7.03,4.24,3.19,2.33,1.13,0.74,0.04,0.04,0.04,0.0,0.0,0.0,0.0
27,2007-07-09,0.348,305.06,43.06,7.94,25.5,8.39,7.23,10.1,12.98,11.89,12.83,11.31,8.2,6.41,4.28,3.03,2.02,0.82,0.35,0.12,0.0,0.04,0.0,0.0,0.0,0.0
28,2007-07-16,0.33799999999999997,305.16,42.6,7.92,25.26,8.32,7.15,11.04,13.1,12.44,12.36,10.03,9.02,5.75,4.82,3.34,1.44,0.74,0.31,0.12,0.04,0.0,0.0,0.0,0.0,0.0
29,2007-07-23,0.326,305.35,42.17,7.26,24.72,7.15,7.73,11.85,14.81,13.8,11.7,9.48,7.27,6.96,4.08,2.68,1.63,0.54,0.19,0.08,0.0,0.04,0.0,0.0,0.0,0.0
30,2007-07-30,0.311,305.48,40.48,6.69,23.58,7.23,9.13,12.24,16.4,14.65,10.42,9.17,7.35,5.83,3.15,2.22,1.67,0.35,0.12,0.04,0.04,0.0,0.0,0.0,0.0,0.0
31,2007-08-06,0.297,305.37,39.05,6.22,22.64,7.5,8.9,14.15,16.01,16.21,10.49,8.63,7.35,4.39,2.72,1.94,0.93,0.58,0.12,0.04,0.04,0.0,0.0,0.0,0.0,0.0
32,2007-08-13,0.28300000000000003,305.0,37.36,6.75,22.05,8.28,9.95,14.46,16.25,15.12,11.39,8.08,5.6,4.12,2.91,2.37,0.7,0.51,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0
33,2007-08-20,0.27,304.45,36.83,7.11,21.97,8.71,9.52,14.57,16.05,15.27,11.89,8.32,5.67,3.58,2.41,1.71,1.2,0.62,0.23,0.12,0.08,0.04,0.0,0.0,0.0,0.0
34,2007-08-27,0.261,303.43,40.23,8.42,24.33,6.22,7.7,13.06,15.35,14.96,12.67,9.79,7.15,4.12,2.95,2.53,1.59,0.93,0.51,0.35,0.08,0.0,0.04,0.0,0.0,0.0
35,2007-09-03,0.255,301.71,46.1,8.72,27.41,3.38,5.64,10.26,14.42,13.99,14.07,11.7,8.9,6.18,3.34,3.15,2.1,1.52,0.82,0.39,0.12,0.0,0.0,0.04,0.0,0.0
36,2007-09-10,0.25,299.56,53.39,8.47,30.93,1.09,3.23,6.88,12.32,13.95,13.21,13.56,11.12,8.67,6.14,3.65,2.95,1.9,0.89,0.31,0.08,0.0,0.04,0.0,0.0,0.0
37,2007-09-17,0.249,297.56,63.37,7.68,35.52,0.16,1.13,3.61,6.8,10.49,14.81,13.37,13.41,12.05,8.98,7.31,4.43,2.1,1.09,0.23,0.04,0.0,0.0,0.0,0.0,0.0
38,2007-09-24,0.249,295.65,73.58,6.06,39.82,0.12,0.16,0.93,3.58,6.57,10.69,12.32,15.04,14.46,12.32,14.26,6.61,2.06,0.74,0.12,0.04,0.0,0.0,0.0,0.0,0.0
39,2007-10-01,0.24600000000000002,293.47,81.07,5.04,43.06,0.0,0.16,0.23,1.55,4.31,7.23,10.53,10.45,15.7,15.51,24.49,7.54,1.67,0.47,0.12,0.04,0.0,0.0,0.0,0.0,0.0
40,2007-10-08,0.239,290.35,85.93,9.71,47.82,0.0,0.04,0.04,0.54,2.37,5.36,6.3,8.55,9.79,13.25,25.3,19.04,8.01,1.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0
41,2007-10-15,0.23,287.45,87.59,12.29,49.94,0.0,0.0,0.08,0.27,1.83,3.93,4.9,7.31,8.78,11.7,24.17,23.63,10.14,2.99,0.23,0.04,0.0,0.0,0.0,0.0,0.0
42,2007-10-22,0.223,284.34,90.06,19.88,54.97,0.0,0.0,0.0,0.04,0.31,1.32,2.8,4.78,5.79,8.63,15.08,29.81,22.97,6.76,1.4,0.23,0.08,0.0,0.0,0.0,0.0
43,2007-10-29,0.213,280.69,91.18,25.3,58.24,0.0,0.0,0.0,0.0,0.04,0.39,1.01,3.11,4.31,5.95,10.42,26.82,29.58,14.34,3.34,0.58,0.12,0.0,0.0,0.0,0.0
44,2007-11-05,0.201,277.81,91.62,26.17,58.89,0.0,0.0,0.0,0.0,0.04,0.19,0.7,1.79,3.89,5.71,8.82,29.77,32.14,12.75,3.07,1.05,0.08,0.0,0.0,0.0,0.0
45,2007-11-12,0.184,275.43,90.65,25.26,57.96,0.0,0.0,0.0,0.0,0.04,0.19,0.82,2.29,3.89,6.76,9.37,35.45,28.45,8.86,2.8,0.89,0.16,0.04,0.0,0.0,0.0
46,2007-11-19,0.16399999999999998,272.95,88.43,25.02,56.73,0.0,0.0,0.0,0.0,0.04,0.39,1.28,3.11,4.97,8.05,14.22,34.4,22.62,6.65,2.29,1.2,0.54,0.16,0.08,0.0,0.0
47,2007-11-26,0.13699999999999998,270.05,83.23,27.47,55.35,0.0,0.0,0.0,0.0,0.12,0.78,2.53,4.39,7.46,8.98,18.15,27.05,18.38,7.19,2.1,1.52,0.62,0.51,0.19,0.0,0.04
48,2007-12-03,0.109,266.84,75.06,32.36,53.71,0.0,0.0,0.0,0.0,0.08,1.36,3.65,6.37,10.14,13.33,18.46,18.58,14.46,7.03,3.19,1.75,1.36,0.19,0.0,0.0,0.04
49,2007-12-10,0.086,264.65,65.25,33.23,49.24,0.0,0.0,0.0,0.04,0.78,3.3,7.23,10.84,15.43,15.47,15.86,12.9,8.43,5.6,2.76,1.09,0.19,0.0,0.08,0.0,0.0
50,2007-12-17,0.076,264.2,66.56,28.24,47.4,0.0,0.0,0.0,0.04,0.58,3.5,8.28,12.83,18.69,16.52,15.12,11.54,7.07,3.58,1.79,0.39,0.04,0.04,0.0,0.0,0.0
51,2007-12-24,0.07200000000000001,264.34,71.97,23.72,47.85,0.0,0.0,0.0,0.0,0.23,2.18,7.15,12.55,17.99,17.41,17.8,14.34,6.65,2.88,0.7,0.12,0.0,0.0,0.0,0.0,0.0
52,2007-12-31,0.071,265.17,78.6,18.49,48.54,0.0,0.0,0.0,0.0,0.27,1.83,5.13,11.15,14.65,18.66,24.41,15.47,6.26,1.59,0.39,0.04,0.08,0.08,0.0,0.0,0.0
53,2008-01-07,0.073,266.07,80.64,13.77,47.21,0.0,0.0,0.0,0.04,0.51,2.25,5.91,12.09,17.8,16.48,26.66,13.72,3.46,0.78,0.19,0.08,0.04,0.0,0.0,0.0,0.0
54,2008-01-14,0.078,267.62,82.46,8.6,45.53,0.0,0.0,0.0,0.08,0.74,3.46,8.94,13.37,16.95,14.46,30.7,9.6,1.4,0.19,0.08,0.04,0.0,0.0,0.0,0.0,0.0
55,2008-01-21,0.081,269.32,82.05,6.26,44.15,0.0,0.0,0.0,0.08,1.55,5.48,10.42,14.89,15.51,13.29,32.72,5.4,0.47,0.12,0.08,0.0,0.0,0.0,0.0,0.0,0.0
56,2008-01-28,0.083,270.55,78.85,7.48,43.17,0.0,0.0,0.0,0.04,2.1,5.56,11.35,17.8,16.91,15.78,25.81,4.31,0.31,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2008-02-04,0.08900000000000001,272.47,75.94,7.61,41.78,0.0,0.0,0.0,0.31,2.22,6.3,15.39,19.01,17.22,15.24,20.87,3.38,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2008-02-11,0.095,274.31,70.05,8.93,39.49,0.0,0.0,0.08,0.74,3.58,11.31,17.88,19.47,18.42,12.83,11.74,3.93,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2008-02-18,0.10300000000000001,276.52,67.99,9.5,38.74,0.0,0.0,0.04,0.43,3.89,11.31,19.67,22.27,18.19,12.44,8.55,3.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2008-02-25,0.113,279.2,67.22,9.14,38.18,0.0,0.0,0.04,0.62,4.51,11.39,19.78,23.01,19.63,11.5,7.77,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2008-03-03,0.125,281.06,66.26,12.06,39.16,0.0,0.0,0.0,0.66,3.46,9.87,17.14,23.79,20.37,13.1,9.06,2.37,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2008-03-10,0.145,283.25,70.04,11.28,40.66,0.0,0.0,0.0,0.12,2.49,8.32,14.5,22.35,20.91,16.13,11.5,3.42,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2008-03-17,0.16399999999999998,285.19,72.4,12.56,42.48,0.0,0.0,0.0,0.08,1.13,5.79,12.67,18.66,22.31,19.24,13.45,6.06,0.58,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2008-03-24,0.19399999999999998,287.2,79.18,14.34,46.76,0.0,0.0,0.0,0.0,0.04,1.2,5.99,12.9,20.48,21.76,22.46,13.18,1.71,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2008-03-31,0.23399999999999999,289.81,87.51,12.72,50.11,0.0,0.0,0.0,0.0,0.04,0.31,2.02,6.18,13.29,20.17,33.15,22.04,2.6,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0
66,2008-04-07,0.273,291.78,92.31,13.36,52.84,0.0,0.0,0.0,0.0,0.04,0.12,0.82,3.15,6.14,14.11,35.91,33.15,5.87,0.62,0.08,0.0,0.0,0.0,0.0,0.0,0.0
67,2008-04-14,0.312,293.21,95.02,17.34,56.18,0.0,0.0,0.0,0.0,0.0,0.04,0.35,0.97,3.19,7.23,23.94,40.77,19.24,3.65,0.43,0.19,0.0,0.0,0.0,0.0,0.0
68,2008-04-21,0.345,294.52,95.6,23.97,59.78,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.66,1.98,5.09,12.55,29.23,29.93,14.07,5.01,1.09,0.12,0.08,0.04,0.04,0.0
69,2008-04-28,0.371,295.17,95.16,36.47,65.81,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.23,0.93,2.6,5.71,12.01,23.44,25.5,16.6,8.47,3.15,0.97,0.12,0.16,0.04
70,2008-05-05,0.39399999999999996,295.85,94.39,48.92,71.66,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.31,1.36,2.88,5.52,12.16,19.43,22.54,17.41,9.99,5.36,1.83,0.7,0.31
71,2008-05-12,0.405,295.91,90.72,62.66,76.69,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.16,0.86,1.94,4.2,8.05,11.7,15.39,17.76,16.67,11.78,6.3,3.54,1.55
72,2008-05-19,0.42,296.77,90.81,66.37,78.59,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.23,0.62,1.55,3.46,6.84,9.72,13.02,15.39,18.97,13.68,9.52,4.74,2.06
