,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.057,263.13,77.41,20.53,48.97,0.0,0.0,0.22,0.84,2.3,5.08,7.69,7.87,11.75,11.58,22.27,11.8,7.56,4.9,2.78,1.94,1.1,0.18,0.13,0.0,0.0
1,2007-01-08,0.055999999999999994,261.92,79.09,26.03,52.56,0.0,0.0,0.0,0.31,1.02,3.09,5.17,7.73,10.08,11.27,20.33,13.96,9.9,6.94,4.68,2.87,1.68,0.66,0.27,0.04,0.0
2,2007-01-15,0.057,261.64,78.29,28.09,53.19,0.0,0.0,0.0,0.09,0.35,1.86,3.49,7.34,11.36,14.23,21.3,13.43,10.21,6.81,4.64,2.78,1.37,0.57,0.18,0.0,0.0
3,2007-01-22,0.059000000000000004,262.17,78.06,28.97,53.52,0.0,0.0,0.0,0.0,0.27,1.41,2.7,7.78,11.71,14.49,20.33,14.23,10.65,6.85,4.42,2.83,1.68,0.49,0.18,0.0,0.0
4,2007-01-29,0.067,264.06,83.83,26.22,55.03,0.0,0.0,0.0,0.0,0.04,0.62,1.94,4.9,9.01,12.73,24.08,18.29,11.89,6.67,4.33,3.0,1.63,0.57,0.22,0.04,0.0
5,2007-02-05,0.078,266.73,86.99,23.49,55.24,0.0,0.0,0.0,0.0,0.0,0.22,1.24,3.62,7.34,11.93,25.1,23.02,14.05,7.38,3.62,1.55,0.66,0.22,0.0,0.04,0.0
6,2007-02-12,0.091,270.39,87.49,18.94,53.22,0.0,0.0,0.0,0.0,0.0,0.18,0.97,4.64,7.87,14.58,30.49,24.52,11.49,4.02,0.93,0.27,0.04,0.0,0.0,0.0,0.0
7,2007-02-19,0.10300000000000001,274.22,86.05,14.97,50.51,0.0,0.0,0.0,0.0,0.0,0.62,2.21,6.85,13.12,16.0,32.83,21.21,5.97,1.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.11199999999999999,277.7,83.43,11.68,47.55,0.0,0.0,0.0,0.0,0.31,1.37,5.7,11.18,15.82,19.66,29.83,13.43,2.47,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.11800000000000001,280.68,78.08,10.52,44.3,0.0,0.0,0.0,0.0,0.57,3.36,10.12,16.53,22.09,18.47,20.02,7.03,1.77,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.126,283.78,73.99,8.52,41.25,0.0,0.0,0.0,0.13,1.15,5.88,15.55,23.91,20.28,17.54,11.49,3.23,0.71,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.136,286.71,71.68,8.02,39.85,0.0,0.0,0.0,0.18,1.37,8.35,17.41,25.89,21.56,14.41,8.35,1.77,0.57,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.152,289.29,71.4,9.54,40.47,0.0,0.0,0.0,0.22,1.28,6.1,16.39,26.12,23.29,15.11,7.82,2.74,0.49,0.4,0.04,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.16699999999999998,291.4,69.14,9.34,39.24,0.0,0.0,0.0,0.13,1.81,7.82,19.09,26.69,23.51,13.57,4.73,1.86,0.49,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.18,292.77,64.53,12.14,38.34,0.0,0.0,0.0,0.22,2.08,10.21,21.48,27.4,21.12,11.4,4.02,1.41,0.4,0.13,0.04,0.09,0.0,0.0,0.0,0.0,0.0
