,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.12300000000000001,270.43,94.38,2.64,48.51,0.0,0.0,0.0,0.0,0.07,0.43,2.36,5.55,8.7,12.43,66.0,3.88,0.54,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.11599999999999999,269.56,87.92,7.14,47.53,0.0,0.0,0.0,0.04,0.07,0.72,4.39,10.26,15.15,17.98,41.32,7.07,2.46,0.43,0.11,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.10800000000000001,268.89,79.73,11.62,45.67,0.0,0.0,0.0,0.04,0.29,1.85,8.12,14.79,19.25,18.99,26.86,6.49,2.46,0.62,0.18,0.04,0.04,0.0,0.0,0.0,0.0
3,2007-01-22,0.099,267.9,69.74,19.25,44.49,0.0,0.0,0.0,0.14,0.8,3.33,9.24,15.95,22.54,20.99,16.38,7.25,2.32,0.8,0.14,0.11,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.08900000000000001,266.41,54.31,31.66,42.99,0.0,0.0,0.0,0.14,0.76,4.28,10.58,20.33,26.17,19.14,11.2,4.78,1.59,0.91,0.11,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.085,265.57,44.89,42.38,43.64,0.0,0.0,0.0,0.0,0.29,1.96,9.64,21.49,28.05,18.96,11.63,5.18,2.14,0.54,0.11,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.087,265.86,41.53,47.13,44.33,0.0,0.0,0.0,0.0,0.07,1.45,7.72,21.06,26.75,21.64,12.32,5.91,2.21,0.65,0.22,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.099,268.15,45.11,44.15,44.63,0.0,0.0,0.0,0.0,0.07,1.27,7.14,19.72,27.47,21.67,13.27,6.42,2.1,0.62,0.25,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.121,271.55,54.51,36.41,45.46,0.0,0.0,0.0,0.0,0.04,0.98,5.65,17.36,25.59,24.9,14.61,7.65,2.25,0.8,0.18,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.152,275.49,67.22,27.39,47.3,0.0,0.0,0.0,0.0,0.0,0.33,2.32,11.6,23.99,28.85,18.81,10.04,3.33,0.58,0.14,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.187,279.14,78.23,17.14,47.68,0.0,0.0,0.0,0.0,0.0,0.33,2.14,8.23,23.34,30.99,22.33,10.22,2.21,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
