,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.12,270.02,65.44,11.69,38.56,0.0,0.09,0.28,0.28,3.26,9.31,18.9,26.72,20.11,12.38,7.17,1.21,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.11199999999999999,269.05,58.84,19.1,38.97,0.0,0.0,0.09,0.37,2.33,8.57,18.99,25.88,21.97,13.41,6.42,1.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.106,268.85,51.2,24.33,37.76,0.0,0.0,0.0,0.74,2.89,10.24,21.97,27.19,22.16,9.12,4.19,1.21,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.106,269.55,48.56,24.25,36.4,0.0,0.09,0.09,1.02,4.84,12.57,24.67,27.0,17.04,8.19,3.72,0.56,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.109,270.13,48.22,25.72,36.97,0.0,0.0,0.19,0.65,4.28,12.01,23.84,26.91,17.69,8.47,4.93,0.84,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.11599999999999999,270.96,49.85,28.96,39.4,0.0,0.0,0.0,0.19,2.14,7.45,18.53,25.88,24.49,12.1,7.26,1.77,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.126,272.27,53.59,30.7,42.14,0.0,0.0,0.0,0.09,0.37,2.89,11.73,24.77,27.09,18.44,11.08,2.51,0.84,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.14300000000000002,274.37,60.84,27.06,43.95,0.0,0.0,0.0,0.0,0.37,1.3,7.64,19.65,28.96,21.79,15.64,2.51,1.77,0.09,0.19,0.09,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.17,277.01,73.88,21.23,47.55,0.0,0.0,0.0,0.0,0.09,1.12,2.89,9.31,21.69,28.96,22.53,8.66,2.61,1.58,0.47,0.09,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.196,279.45,82.12,18.66,50.39,0.0,0.0,0.0,0.0,0.0,0.28,1.21,4.66,13.59,26.35,31.56,13.31,6.15,2.05,0.74,0.09,0.0,0.0,0.0,0.0,0.0
