,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.08800000000000001,270.7,84.49,5.29,44.89,0.0,0.0,0.0,0.99,2.82,6.21,7.91,9.04,10.08,11.02,44.59,4.71,1.65,0.66,0.28,0.05,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.083,269.68,83.05,7.8,45.43,0.0,0.0,0.0,0.56,2.73,5.37,8.9,9.7,10.78,11.44,39.88,5.23,3.44,1.08,0.42,0.33,0.09,0.05,0.0,0.0,0.0
2,2007-01-15,0.081,269.45,82.04,9.84,45.94,0.0,0.0,0.0,0.33,1.46,5.65,8.33,11.06,13.14,12.66,34.84,6.07,2.82,2.12,0.94,0.33,0.05,0.19,0.0,0.0,0.0
3,2007-01-22,0.084,269.86,82.83,12.3,47.56,0.0,0.0,0.0,0.05,0.75,3.86,7.72,11.06,14.17,10.31,33.57,9.37,4.24,2.07,1.13,0.85,0.52,0.28,0.05,0.0,0.0
4,2007-01-29,0.091,271.07,84.17,13.37,48.77,0.0,0.0,0.0,0.05,0.42,2.31,6.54,11.21,11.82,12.15,34.13,10.97,5.04,2.31,1.04,0.99,0.47,0.47,0.09,0.0,0.0
5,2007-02-05,0.1,272.83,83.34,13.51,48.42,0.0,0.0,0.0,0.05,0.28,2.07,5.98,11.72,13.18,12.1,34.13,11.53,5.51,1.98,0.66,0.33,0.38,0.05,0.05,0.0,0.0
6,2007-02-12,0.11,274.88,79.59,14.48,47.04,0.0,0.0,0.0,0.05,0.47,2.59,7.63,11.63,15.58,14.6,30.23,12.1,4.1,0.85,0.14,0.05,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.122,277.49,77.46,14.18,45.82,0.0,0.0,0.0,0.05,0.66,3.3,9.13,13.98,16.43,15.91,26.79,11.63,1.93,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.135,280.37,76.42,12.23,44.33,0.0,0.0,0.0,0.09,1.08,4.33,10.59,16.48,16.29,17.04,25.33,7.53,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.145,283.36,72.06,11.21,41.64,0.0,0.0,0.0,0.09,1.74,7.16,15.02,19.44,19.87,15.16,16.71,4.47,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.156,285.87,69.73,9.7,39.72,0.0,0.0,0.0,0.09,2.97,9.13,18.69,21.7,19.96,13.94,11.02,2.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.168,287.9,68.38,10.38,39.38,0.0,0.0,0.0,0.19,2.64,9.75,19.54,22.88,19.63,13.18,9.13,2.87,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.184,290.08,68.68,12.64,40.66,0.0,0.0,0.0,0.0,1.32,7.91,17.61,21.7,21.75,15.82,9.18,3.95,0.71,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.198,291.93,67.58,13.49,40.53,0.0,0.0,0.0,0.0,1.04,6.64,17.51,24.2,22.5,15.35,9.27,2.92,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.20800000000000002,293.17,63.8,16.57,40.18,0.0,0.0,0.0,0.05,0.94,7.25,17.7,24.62,23.26,15.49,7.86,2.31,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.22899999999999998,294.95,62.54,18.05,40.3,0.0,0.0,0.0,0.14,1.51,7.2,17.18,24.11,23.45,15.21,7.86,2.4,0.8,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
