,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.174,273.62,96.88,2.81,49.84,0.0,0.0,0.0,0.0,0.17,0.43,0.86,1.64,4.31,6.03,80.53,4.31,1.55,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.163,272.79,93.7,6.51,50.11,0.0,0.0,0.0,0.0,0.0,0.86,1.46,3.01,6.29,10.94,64.08,9.3,3.36,0.6,0.0,0.09,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.152,272.44,87.95,9.55,48.75,0.0,0.0,0.0,0.09,0.26,0.95,2.84,6.46,12.14,14.3,50.65,7.75,2.84,1.38,0.34,0.0,0.0,0.0,0.0,0.0,0.0
3,2007-01-22,0.146,272.6,81.25,12.01,46.63,0.0,0.0,0.0,0.26,0.34,1.98,4.48,12.06,16.19,21.71,33.94,5.0,2.58,1.03,0.26,0.17,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.142,272.44,71.53,18.01,44.77,0.0,0.0,0.0,0.09,0.34,1.72,5.34,18.09,25.41,24.29,18.0,4.13,1.55,0.78,0.17,0.09,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.138,272.52,62.15,23.46,42.81,0.0,0.0,0.0,0.0,0.17,1.81,9.99,23.51,30.06,18.78,10.59,3.53,1.38,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.142,273.53,58.95,24.39,41.67,0.0,0.0,0.0,0.0,0.09,1.98,13.87,28.77,26.87,14.73,9.39,3.88,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.152,275.21,59.88,22.86,41.37,0.0,0.0,0.0,0.0,0.0,2.24,14.04,31.01,25.84,14.13,8.87,3.1,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.171,277.28,65.66,20.76,43.21,0.0,0.0,0.0,0.0,0.0,1.46,9.3,24.55,29.03,17.66,10.59,5.51,1.55,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.191,279.38,70.4,19.12,44.76,0.0,0.0,0.0,0.0,0.0,0.78,5.86,19.47,29.37,21.96,13.26,7.15,1.46,0.52,0.17,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.215,281.33,75.12,18.09,46.61,0.0,0.0,0.0,0.0,0.0,0.52,3.01,14.64,27.82,23.26,16.37,9.73,3.7,0.86,0.09,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.249,283.41,83.29,17.05,50.17,0.0,0.0,0.0,0.0,0.0,0.26,0.69,5.51,18.17,27.56,23.34,15.25,6.29,2.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.285,285.61,91.51,9.97,50.74,0.0,0.0,0.0,0.0,0.0,0.09,0.26,2.84,13.7,28.51,31.35,15.93,5.68,1.55,0.09,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.316,287.01,96.24,6.2,51.22,0.0,0.0,0.0,0.0,0.0,0.09,0.34,1.21,7.75,22.22,47.46,15.42,4.13,1.12,0.26,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.342,287.89,97.55,6.49,52.02,0.0,0.0,0.0,0.0,0.0,0.09,0.34,1.21,4.13,16.02,54.52,16.11,5.43,1.89,0.26,0.0,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.37200000000000005,289.39,97.19,6.04,51.62,0.0,0.0,0.0,0.0,0.0,0.26,0.17,1.29,3.45,20.41,53.14,15.42,4.31,1.38,0.17,0.0,0.0,0.0,0.0,0.0,0.0
16,2007-04-23,0.40700000000000003,291.27,96.31,4.26,50.28,0.0,0.0,0.0,0.0,0.0,0.17,0.43,1.29,5.86,28.42,51.51,8.53,2.84,0.78,0.17,0.0,0.0,0.0,0.0,0.0,0.0
17,2007-04-30,0.434,292.38,94.25,4.59,49.42,0.0,0.0,0.0,0.0,0.09,0.09,0.52,1.81,11.8,41.43,32.39,7.58,2.5,1.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0
18,2007-05-07,0.457,293.26,91.44,4.91,48.18,0.0,0.0,0.0,0.0,0.09,0.34,0.43,4.31,21.88,39.88,22.22,6.72,2.76,0.95,0.43,0.0,0.0,0.0,0.0,0.0,0.0
