,datetime,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,2007-01-01,0.109,271.04,92.0,1.55,46.77,0.0,0.0,0.04,0.38,1.05,1.85,4.13,7.29,9.39,11.96,62.34,1.31,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2007-01-08,0.10099999999999999,269.57,83.52,4.81,44.17,0.0,0.0,0.13,0.38,1.39,4.04,8.55,13.98,16.81,15.08,35.85,2.95,0.72,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2,2007-01-15,0.096,268.67,75.96,8.69,42.33,0.0,0.0,0.08,0.42,1.22,6.87,13.48,16.85,19.59,14.91,21.65,3.62,0.97,0.21,0.04,0.04,0.04,0.0,0.0,0.0,0.0
3,2007-01-22,0.091,267.65,70.22,15.54,42.88,0.0,0.0,0.0,0.21,1.35,5.43,13.52,18.41,19.17,17.06,16.76,5.56,1.94,0.46,0.04,0.08,0.0,0.0,0.0,0.0,0.0
4,2007-01-29,0.085,266.79,60.41,24.84,42.63,0.0,0.0,0.0,0.04,1.14,4.97,13.31,20.64,21.69,17.86,11.92,5.98,1.81,0.51,0.13,0.0,0.0,0.0,0.0,0.0,0.0
5,2007-02-05,0.081,266.39,51.03,33.23,42.13,0.0,0.0,0.0,0.0,0.76,4.47,13.94,22.7,23.29,18.28,10.28,4.68,1.22,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0
6,2007-02-12,0.08199999999999999,266.8,45.57,37.44,41.5,0.0,0.0,0.0,0.04,0.42,3.83,14.91,25.82,24.39,17.23,8.21,3.96,0.97,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2007-02-19,0.09,269.0,46.2,35.19,40.69,0.0,0.0,0.0,0.04,0.34,3.88,17.14,27.76,26.24,14.11,7.2,2.57,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2007-02-26,0.107,272.25,51.19,29.41,40.3,0.0,0.0,0.0,0.0,0.25,3.75,17.1,30.29,26.58,13.73,5.9,2.02,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2007-03-05,0.132,276.15,58.89,21.95,40.42,0.0,0.0,0.0,0.0,0.42,3.96,16.43,28.94,28.01,13.48,6.23,2.23,0.25,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2007-03-12,0.159,279.31,65.86,14.74,40.3,0.0,0.0,0.0,0.0,0.59,3.96,17.1,28.9,27.25,14.15,5.56,2.23,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2007-03-19,0.18100000000000002,281.74,69.68,16.11,42.9,0.0,0.0,0.0,0.0,0.21,2.4,9.31,22.83,28.64,21.4,9.9,4.38,0.76,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0
12,2007-03-26,0.205,284.52,74.23,14.15,44.19,0.0,0.0,0.0,0.04,0.51,2.19,7.41,19.42,24.68,24.22,13.69,6.11,1.47,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2007-04-02,0.231,286.92,78.44,10.82,44.63,0.0,0.0,0.0,0.04,0.55,2.4,8.09,16.18,24.35,23.21,16.13,7.08,1.77,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0
14,2007-04-09,0.254,288.55,77.88,15.12,46.5,0.0,0.0,0.0,0.17,0.59,1.73,6.49,13.56,20.77,21.02,19.8,10.36,4.38,0.8,0.29,0.04,0.0,0.0,0.0,0.0,0.0
15,2007-04-16,0.282,290.24,76.11,22.18,49.14,0.0,0.0,0.0,0.17,0.34,1.35,4.55,9.81,17.23,19.63,20.68,14.11,7.75,3.16,0.93,0.21,0.04,0.04,0.0,0.0,0.0
16,2007-04-23,0.312,292.2,74.27,23.94,49.1,0.0,0.0,0.0,0.25,0.46,2.19,5.77,10.49,15.96,17.23,19.25,13.48,8.64,4.09,1.39,0.59,0.17,0.04,0.0,0.0,0.0
17,2007-04-30,0.342,294.14,73.11,22.11,47.61,0.0,0.04,0.08,0.25,1.26,4.09,8.05,11.5,16.85,15.63,15.75,12.43,8.21,3.29,1.77,0.51,0.25,0.04,0.0,0.0,0.0
18,2007-05-07,0.369,295.78,70.97,20.36,45.67,0.0,0.08,0.21,0.55,2.15,5.69,9.86,13.27,16.01,15.75,15.46,10.19,6.4,2.91,1.18,0.25,0.04,0.0,0.0,0.0,0.0
19,2007-05-14,0.39399999999999996,296.85,68.0,21.95,44.98,0.0,0.08,0.42,1.47,3.5,6.11,9.6,12.17,15.67,15.08,14.11,11.37,6.87,2.4,0.93,0.21,0.0,0.0,0.0,0.0,0.0
20,2007-05-21,0.415,297.6,67.23,22.67,44.95,0.04,0.25,1.05,2.36,4.59,6.87,9.22,9.48,12.93,14.07,15.0,10.99,7.41,4.17,1.35,0.21,0.0,0.0,0.0,0.0,0.0
21,2007-05-28,0.43,298.18,66.0,20.84,43.42,0.63,0.93,2.23,4.42,5.86,6.15,8.51,8.17,11.96,13.82,13.35,10.87,7.25,4.09,1.43,0.29,0.04,0.0,0.0,0.0,0.0
22,2007-06-04,0.44,298.45,63.92,20.83,42.37,2.27,2.49,3.24,5.01,5.52,5.77,6.95,6.99,11.29,12.22,12.17,10.87,8.21,4.93,1.6,0.42,0.04,0.0,0.0,0.0,0.0
23,2007-06-11,0.44299999999999995,298.22,60.64,24.37,42.51,3.5,2.49,3.54,5.86,4.76,4.72,5.77,8.09,9.86,11.92,10.83,11.25,8.21,6.19,2.23,0.72,0.08,0.0,0.0,0.0,0.0
24,2007-06-18,0.441,297.81,57.17,29.29,43.23,3.66,3.07,4.47,4.68,5.01,4.42,5.81,6.95,9.69,8.76,10.7,11.5,9.22,6.66,3.88,1.18,0.29,0.04,0.0,0.0,0.0
25,2007-06-25,0.439,297.9,55.18,28.11,41.65,5.01,3.75,4.09,5.52,4.89,5.43,5.86,7.03,8.34,8.8,9.81,12.22,9.14,6.15,2.15,1.56,0.25,0.0,0.0,0.0,0.0
26,2007-07-02,0.436,298.29,54.42,25.79,40.1,6.99,3.75,4.89,5.98,4.72,6.02,5.73,5.52,6.91,9.44,10.91,11.54,8.26,5.81,2.32,0.93,0.25,0.04,0.0,0.0,0.0
